sentence,fiscal_stance,Hirose
"With multiple interdependent factors holding back growth, policymakers have to work all necessary levers— structural policies (including to promote financial stability and trade), fiscal policies, and monetary policy",0,0
"Depending on country needs, comprehensive action will combine structural reforms with demand support, anchored by coherent and well-communicated policy frameworks",0,0
"Efforts to advance global trade integration, lower financial stability risks, and address geopolitical spillovers remain vital",0,0
"Taking advantage of the current low interest rate environment and depending on the availability of fiscal space, there is a case for more public investment",1,1
"Where interest rates are at or near their effective lower bounds, fiscal policy must play a larger role",0,1
Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth,0,0
Sustainably higher and inclusive growth requires more forceful and comprehensive policies,0,0
"In a number of countries, it may be appropriate to devote fiscal resources to reduce private sector debt overhangs and repair financial sector balance sheets.",-1,1
"Where monetary policy operates near or at the lower bound, growth-friendly fiscal policy has an important role to play",1,1
But medium-term risks to the sustainability remain unaddressed,0,0
"Overdoing fiscal adjustment in the short run to counter cyclical revenue losses will undercut activity further, diminish popular support for adjustment, and further undermine market confidence",0,0
"In the United States and Japan, policymakers should redouble efforts to formulate and implement credible medium-term consolidation plans",-1,-1
"Countries with policy space might consider slowing structural fiscal adjustment in 2012, while maintaining their commitment to a credible medium-term consolidation plan",1,0
"In other G-20 advanced economies, there remains an urgent priority to set out a credible path for fiscal consolidation over the medium-term",-1,-1
"Measures could include entitlement reforms including new health care and pension saving measures, caps on discretionary spending, and tax system reforms to boost fiscal revenue",-1,-1
those facing very low funding costs should consider a slower pace of consolidation,1,0
"Putting in place such plans will also reinforce policy room to support balance sheet repair, growth, and job creation during this period of heightened vulnerability",0,0
"Countries should allow automatic stabilizers operate freely, provided they can secure funding for higher deficits",1,0
"In the near term, sufficient fiscal adjustment is planned in most advanced economies",0,0
"In the United States, there is a risk that political paralysis could lead to an excessively rapid pace of deficit reduction, including an early expiry of the existing stimulus measures such as the payroll tax cut",0,0
Such developments would further undermine the already weak recovery.,0,0
"Fiscal consolidation must continue in many euro area economies, but it should be structured and paced to avoid a collapse in demand and growth",-1,0
Sufficient near-term fiscal adjustment is in train in most economies,0,0
"in those economies that can afford to do so, the pace of near-term fiscal consolidation should slow",1,0
Automatic stabilizers should be allowed to operate fully,1,0
"Also, rebalancing of global demand was viewed as not being strong enough to sustain high global growth and achieve low unemployment",0,0
"In particular, fiscal consolidation was assessed to be insufficient to decisively address sustainability issues in a number of advanced economies",0,0
The design of fiscal consolidation plans should be “growth friendly” to the extent possible in terms of its composition,1,0
"To lessen the contractionary effect of the deficit reduction, part of it is financed through a growthsupporting shift in the composition of taxation from income to consumption",0,0
"Reducing public debt to more prudent (for example, pre-crisis) levels over the medium term is desirable for several reasons, including: (i) a need to rebuild fiscal space to deal with future shocks; (ii) possibly higher interest rates and lower potential growth given high public debt; and (iii) the need to prepare for formidable longer-term challenges on public finances— notably, rising health care costs and aging",-1,-1
"This would seem to require a sufficient scale of adjustment, more efficient redistribution of the tax burden and allocation of spending, as well as clear and effective communication of credible and coherent fiscal consolidation strategies",-1,0
The upside scenario explores the role of three core elements of the fiscal consolidation package,0,0
This could reinforce market concerns about debt sustainability,0,0
"Finally, fiscal actions that lower payroll taxes or other non-wage costs (for example, social security contributions) could also strengthen the employment effect in the upside",0,0
"Thus, elements of alternative policy scenarios should consider fiscal consolidation, notably in economies with large fiscal and external deficits",-1,0
"Current account deficits would narrow in advanced deficit countries, matched by lower external surpluses in emerging and advanced surplus countries",0,0
"For the purpose of the upside scenario, based on Fund staff assessment of fiscal consolidation needs in each country or region, the (stylized) fiscal package is constructed as follows: For the United States",0,0
"On the back of lower potential, public finances would worsen given lower tax revenues and automatic stabilizers, pushing up interest rates with likely adverse feedback effects on growth and confidence",0,0
Fiscal consolidation in the event of deteriorating market sentiment and lower potential output would need to be stronger and more front-loaded to try to reassure markets,-1,-1
"As credibility of fiscal policy increases over time, private spending is increasingly “crowded in.” Investment and employment increase and economic activity gains momentum, resulting in higher real GDP relative to the baseline over the medium term",0,0
"Within this realm, there are many possible options and an indicative set of policies considered here is as follows",0,0
Minimizing tax distortion is a key principle for the design,0,0
This reflects insufficient rebalancing of global demand,0,0
"However, the policy measures boost growth significantly over the medium term for two reasons",0,0
"FISCAL CONSOLIDATION TO RESTORE SUSTAINABILITY IN ADVANCED ECONOMIES In the upside scenario, fiscal adjustment is underpinned, to the extent possible, by sound and “growth-friendly” policies, underscoring the role of credibility",-1,0
"In this regard, credible and coherent fiscal plans should be clearly communicated as soon as possible",-1,0
"For advanced economies, the simulated fiscal consolidation lowers real GDP relative to the baseline, primarily reflecting lower disposable income and aggregate demand",0,0
"With less-than-full credibility of fiscal plans, private expectations anticipate some reversal or slippage in consolidation",0,0
These policy “layers” can be motivated as follows,0,0
More credible fiscal adjustment would mitigate but would not likely reverse the decline in domestic demand in those economies undergoing consolidation,0,0
The timing and magnitude of consolidation should be tied to country circumstances,0,0
"Major fiscal consolidation is needed in the years ahead in G-20 economies with high public deficits and debt.3 Different economic circumstances and policy needs across advanced economies would determine the timing, magnitude, and composition of consolidation at the individual country level",-1,-1
"Concretely, private expectations in the model align with the authorities’ fiscal consolidation objectives from this point onwards",0,0
