sentence,monetary_topic
"In China , macro policies need to be adjusted for a moderate slowdown , allowing growth to settle at a sustainable level",
"Specifically , implementing the 2010 quota and governance reforms , including their elements , is imperative to provide the resources , credibility , and legitimacy",
the Fund needs to play an effective role in overseeing the IMS .,
"Short-term demand support still has an important part to play in advanced economies , but needs greater emphasis on fiscal policies",
"Like fiscal policy , the pace of financial reform to safeguard stability such as higher capital and liquidity buffers should be carefully calibrated to support bank lending and real growth ,",
while avoiding unnecessary delays,
that can be a source of regulatory uncertainty,
that can deter the willingness to lend,
"In emerging markets , wherever possible , policymakers should continue to let",
the exchange rate act as a buffer against shocks,
"Nonetheless , they still remain wider than their levels , partly signifying the limits of central bank liquidity operations",
"Where room exists , policy rates should be cut further",1
and central banks should signal that interest rates will remain low,1
until a durable recovery is in sight,1
"Libor-OIS spreads have declined sharply , reflecting increased liquidity and lower credit risk",
"Where still high inflationary pressures persist , including from supply bottlenecks for example , Brazil , India , and Indonesia , the scope for easing the monetary stance may be very limited or it may need to be tightened",1
"In the euro area , countries with fiscal space should do more to support growth for example , through infrastructure investment in Germany",
"This process will benefit from continuing macroeconomic support including , for example , through the use of tax incentives and by providing protection for vulnerable households",
"In Japan , a commitment to fiscal consolidation centered on a path of gradual consumption tax hikes and a strengthening of fiscal institutions would create policy space to maintain growth momentum",
Monetary and fiscal policies can be used to reduce inflows,
where further reserve accumulation or exchange rate appreciation are not warranted,
Monetary policy should be the first response to spillovers from advanced economies,
as long as inflationary pressures remain in check,
Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,
"In Japan , the Bank of Japan should stand ready for further easing , preferably by extending purchases under its quantitative and qualitative monetary easing program to assets",1
the proposed adjustments to the policy mix would also contribute to more sustainable growth,
"At the same time , policymakers can raise confidence by explaining to citizens the benefits of reform and ,",
"where necessary , providing effective support to those",
who disproportionately shoulder the burden of adjustment,
"While lower oil prices should boost domestic demand , accommodative monetary conditions remain essential in most advanced economies , given still sizable output gaps",
"Specifically : On the monetary front , economies",
"where inflation is still relatively high , or",
"where policy credibility has come into question , need to continue tightening monetary policy in the context of strengthened policy frameworks India and Turkey .",1
Recent IMF research shows,
that structural reforms are most effective,
"when they directly address an economy 's known structural policy gaps and take account of its level of development , its position in the business cycle , and the available macroeconomic policy space",
The financial sector remains the Achilles ' heel of recovery prospects for private demand,
Swift implementation and an expansion of the EU scheme to provide public and private investment would raise growth in the short and and have positive spillovers in the region,
"In the United States , while underlying growth has been relatively robust , there is still a long way to go on the labor market ,",
as unemployment remains high and labor force participation below trends,
The main challenge for policymakers is to act forcefully to address downside risks with strong policy implementation,
Central banks must decide,
"what more , if anything , to do and prepare for an eventual exit from unconventional monetary policies",1
International cooperation is needed to achieve more orderly resolution across borders and consistent regulatory frameworks and supervision,
In economies facing high inflationary pressures,
"reducing interest rates is not an attractive option ,",
while both political considerations and implementation lags may limit the scope for fiscal consolidation .,
"Monetary policies can be eased in economies with diminishing inflationary pressure but weaker fiscal fundamentals for example , various economies in Latin America",1
"However , where shares of food and energy in consumption are high and policy credibility is low ,",
"as is more common , authorities will have to react faster and more strongly .",
Public debt is above pre in most countries and structural issues and lower potential output point to lower fiscal space than previously estimated,
and debt management measures should commence as soon,
as private demand begins recovering,
"However , the timing of the increase in policy rates may have to be adjusted in function of developments on the inflation and unemployment fronts",1
"This requires a approach combining all available policy tools and strong policy frameworks ,",
which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run,1
Advanced economies should strengthen regulation and supervision of financial activities outside the banking system,
which are expanding rapidly,
Exploiting synergies between support and structural reforms is even more crucial,
where fiscal space is limited and monetary policy operates close to the effective lower bound,1
The composition of central bank assets will in part determine the approach to be taken .,1
"In this context , the recent formal adoption of a symmetrical inflation target by India should provide a robust institutional foundation for maintaining price stability",1
"Monetary policy should remain accommodative in advanced economies ,",1
as output gaps are large and fiscal consolidation will continue,
There is an urgent need for structural reforms to raise potential output in both advanced and emerging economies,
In such cases the combination of temporary macroeconomic support by credible policy frameworks with structural reforms can deliver more than the sum of its parts,
"Where interest rates are at or near their effective lower bounds , fiscal policy must play a larger role",
"Some countries for example , Argentina and India should remain watchful of inflationary pressures and can not afford to lower interest rates further",
"However , the impact of policy rates reductions on credit conditions , including notably on borrowing rates , has been limited by financial disruptions",
"that have weakened the monetary transmission mechanism , with banks continuing to tighten lending standards , albeit at a slower pace more recently",
Many exporters for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies,
