sentence,monetary_topic
"In China , macro policies need to be adjusted for a moderate slowdown , allowing growth to settle at a sustainable level",0.0
"Specifically , implementing the 2010 quota and governance reforms , including their elements , is imperative to provide the resources , credibility , and legitimacy",0.0
the Fund needs to play an effective role in overseeing the IMS .,0.0
"Short-term demand support still has an important part to play in advanced economies , but needs greater emphasis on fiscal policies",0.0
"Like fiscal policy , the pace of financial reform to safeguard stability such as higher capital and liquidity buffers should be carefully calibrated to support bank lending and real growth ,",0.0
while avoiding unnecessary delays,0.0
that can be a source of regulatory uncertainty,0.0
that can deter the willingness to lend,0.0
"In emerging markets , wherever possible , policymakers should continue to let",0.0
the exchange rate act as a buffer against shocks,0.0
"Nonetheless , they still remain wider than their levels , partly signifying the limits of central bank liquidity operations",0.0
"Where room exists , policy rates should be cut further",1.0
and central banks should signal that interest rates will remain low,1.0
until a durable recovery is in sight,1.0
"Libor-OIS spreads have declined sharply , reflecting increased liquidity and lower credit risk",0.0
"Where still high inflationary pressures persist , including from supply bottlenecks for example , Brazil , India , and Indonesia , the scope for easing the monetary stance may be very limited or it may need to be tightened",1.0
"In the euro area , countries with fiscal space should do more to support growth for example , through infrastructure investment in Germany",0.0
"This process will benefit from continuing macroeconomic support including , for example , through the use of tax incentives and by providing protection for vulnerable households",0.0
"In Japan , a commitment to fiscal consolidation centered on a path of gradual consumption tax hikes and a strengthening of fiscal institutions would create policy space to maintain growth momentum",0.0
Monetary and fiscal policies can be used to reduce inflows,0.0
where further reserve accumulation or exchange rate appreciation are not warranted,0.0
Monetary policy should be the first response to spillovers from advanced economies,0.0
as long as inflationary pressures remain in check,0.0
Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,0.0
"In Japan , the Bank of Japan should stand ready for further easing , preferably by extending purchases under its quantitative and qualitative monetary easing program to assets",1.0
the proposed adjustments to the policy mix would also contribute to more sustainable growth,0.0
"At the same time , policymakers can raise confidence by explaining to citizens the benefits of reform and ,",0.0
"where necessary , providing effective support to those",0.0
who disproportionately shoulder the burden of adjustment,0.0
"While lower oil prices should boost domestic demand , accommodative monetary conditions remain essential in most advanced economies , given still sizable output gaps",0.0
"Specifically : On the monetary front , economies",0.0
"where inflation is still relatively high , or",0.0
"where policy credibility has come into question , need to continue tightening monetary policy in the context of strengthened policy frameworks India and Turkey .",1.0
Recent IMF research shows,0.0
that structural reforms are most effective,0.0
"when they directly address an economy 's known structural policy gaps and take account of its level of development , its position in the business cycle , and the available macroeconomic policy space",0.0
The financial sector remains the Achilles ' heel of recovery prospects for private demand,0.0
Swift implementation and an expansion of the EU scheme to provide public and private investment would raise growth in the short and and have positive spillovers in the region,0.0
"In the United States , while underlying growth has been relatively robust , there is still a long way to go on the labor market ,",0.0
as unemployment remains high and labor force participation below trends,0.0
The main challenge for policymakers is to act forcefully to address downside risks with strong policy implementation,0.0
Central banks must decide,0.0
"what more , if anything , to do and prepare for an eventual exit from unconventional monetary policies",1.0
International cooperation is needed to achieve more orderly resolution across borders and consistent regulatory frameworks and supervision,0.0
In economies facing high inflationary pressures,0.0
"reducing interest rates is not an attractive option ,",0.0
while both political considerations and implementation lags may limit the scope for fiscal consolidation .,0.0
"Monetary policies can be eased in economies with diminishing inflationary pressure but weaker fiscal fundamentals for example , various economies in Latin America",1.0
"However , where shares of food and energy in consumption are high and policy credibility is low ,",0.0
"as is more common , authorities will have to react faster and more strongly .",0.0
Public debt is above pre in most countries and structural issues and lower potential output point to lower fiscal space than previously estimated,0.0
and debt management measures should commence as soon,0.0
as private demand begins recovering,0.0
"However , the timing of the increase in policy rates may have to be adjusted in function of developments on the inflation and unemployment fronts",1.0
"This requires a approach combining all available policy tools and strong policy frameworks ,",0.0
which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run,1.0
Advanced economies should strengthen regulation and supervision of financial activities outside the banking system,0.0
which are expanding rapidly,0.0
Exploiting synergies between support and structural reforms is even more crucial,0.0
where fiscal space is limited and monetary policy operates close to the effective lower bound,1.0
The composition of central bank assets will in part determine the approach to be taken .,1.0
"In this context , the recent formal adoption of a symmetrical inflation target by India should provide a robust institutional foundation for maintaining price stability",1.0
"Monetary policy should remain accommodative in advanced economies ,",1.0
as output gaps are large and fiscal consolidation will continue,0.0
There is an urgent need for structural reforms to raise potential output in both advanced and emerging economies,0.0
In such cases the combination of temporary macroeconomic support by credible policy frameworks with structural reforms can deliver more than the sum of its parts,0.0
"Where interest rates are at or near their effective lower bounds , fiscal policy must play a larger role",0.0
"Some countries for example , Argentina and India should remain watchful of inflationary pressures and can not afford to lower interest rates further",0.0
"However , the impact of policy rates reductions on credit conditions , including notably on borrowing rates , has been limited by financial disruptions",0.0
"that have weakened the monetary transmission mechanism , with banks continuing to tighten lending standards , albeit at a slower pace more recently",0.0
Many exporters for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies,0.0
"However , given the unevenness of the recovery across economies , challenges faced by central banks are different",0.0
"In Japan , the implementation of the Bank of Japan 's BoJ October announcement of expanded Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets remains critical to support domestic demand",0.0
"In Japan , the introduction of negative deposit rates by the BoJ underscores its commitment to maintain inflation momentum",0.0
"It is important , however , to consider macroeconomic conditions",0.0
when implementing reforms,0.0
"Ultimately , in some European cases , this may well entail the use of pooled euro area resources , including EFSF funds",0.0
"The adverse feedback loops between low growth , deteriorating public finances , and banking sector stress could lead to a prolong period of asset and consumer price deflation",0.0
"In economies where monetary policy is still very accommodative and inflation above target , some monetary policy tightening may be needed to bring inflation back to target",1.0
"The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves ,",0.0
which will need to be mopped up,0.0
as interest rates are raised to ensure the transmission of policy rate changes to the real economy,0.0
Policy priorities have taken on more urgency compared to the February Surveillance Note,0.0
"Finally , to the extent that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities, they will also decrease the risk of crisis , and thereby , make growth more lasting and sustainable .",0.0
The quality of fiscal consolidation in India should be improved through a comprehensive tax reform such as introducing the goods and services tax and improving tax administration and measures to further reduce subsidies,0.0
"In some emerging markets , the task is to avoid overheating and prevent the of financial imbalances",0.0
It will create greater scope to pursue supportive monetary policy without triggering concern about central bank independence or a resurgence of inflation,0.0
"However , where financing conditions are easing and exchange rates have appreciated",0.0
there may be scope for with limited policy easing to support a resumption of growth,0.0
central banks will need eventually to unwind their extraordinary liquidity support and withdraw conventional and unconventional monetary accommodation,0.0
Unwinding should be tractable and central,0.0
"banks have the tools needed to tighten policy , but there will be challenges",0.0
"However , the global financial safety net remains underused during periods of turbulence , with uneven access and a multilayered structure for example , regional financing arrangements , bilateral swap lines , and Fund financing",0.0
Accommodative monetary policy does not have such automatic consequences and can be reversed quickly,0.0
"The new government should complement the proposed cap on federal noninterest spending with tax measures and address spending rigidities and unsustainable mandates , including in the pension system",0.0
"Following the IMF 's Article IV policy advice , countries with negative output gaps",0.0
"which have fiscal space should support growth with all available tools ,",0.0
while those with closed output gaps should withdraw fiscal stimulus and calibrate monetary policy to inflation developments,0.0
"In most advanced economies , output gaps are still substantial , inflation is below target , and monetary policy remains",0.0
constrained by the zero lower bound,0.0
Sustaining the recovery will require structural reforms to raise potential growth along with demand support .,0.0
"In a number of emerging economies , by contrast , monetary policy may have to tighten sooner and might therefore be more synchronous with or even lead fiscal consolidation",1.0
"if there are signs of rising inflation or incipient financial vulnerabilities , including credit booms",0.0
"In emerging economies , there remains scope to cut policy rates",1.0
"if needed to support demand , but rising asset prices and a vigorous turnaround in economic activity suggest",0.0
that policy tightening may be needed in some countries,1.0
"In the euro area building on OMT and ESM activation , further action is also needed to strengthen banks , address structural shortcomings and complete EMU",0.0
Authorities can afford to be more accommodative in those economies,1.0
where the credibility of monetary policy is high,0.0
"this objective will require meeting the onerous challenges to fiscal sustainability , normalizing monetary policy carefully withdrawing financial sector support , and avoiding policy inconsistencies across countries , as well as in the policy mix",0.0
"Continued demand rebalancing from deficit to surplus economies would strengthen global growth and ,",0.0
"if done properly , would help resolve their internal imbalances",0.0
"Broadly speaking , monetary policy accommodation should continue to play its supportive role , given low inflation and still large output gaps , and fiscal adjustment should be measured , while being anchored by a credible roadmap for sustainability",1.0
The pace and composition of fiscal adjustment should be attuned to supporting both the recovery and growth,0.0
"Also , the ECB should continue to provide liquidity and stay fully engaged in securities purchases to help improve the prospects for financial stability",1.0
The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies,0.0
that external financial conditions both availability of capital flows and borrowing costs will eventually tighten,0.0
"Additionally , to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed",0.0
"In the United Kingdom , a range of recent monetary and other policy measures by the Bank of England will support the economy and thereby mitigate downside risks",0.0
The recent forward guidance provided by the ECB to anchor interest rate expectations was a welcome step,0.0
Monetary policy should continue to aid recovery,0.0
"Completing the reform of financial regulation and deploying tools as a first line of defense ,",0.0
"as needed , are essential to limit financial risks",0.0
"Circumstances vary across emerging markets , but many should act to restore fiscal buffers over time , use monetary policy to guard against downside risks , and rely on measures to safeguard financial stability",0.0
Emerging economies need to rebuild policy space and,0.0
in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions,0.0
To facilitate rebalanced global growth : advanced economies with large current account deficits should transition towards measures to raise savings,0.0
"Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS",0.0
"More fiscal stimulus in advanced surplus economies with fiscal space , continuing monetary support and fiscal rebalancing in deficit economies , and structural reforms would contribute to external rebalancing",0.0
"Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers ,",0.0
while unviable business models need to be unwound,0.0
The recent Council agreement on the SRM is a step forward,0.0
"but the process appears complex , and may cause delays in decision making",0.0
"In many advanced economies , insufficient progress with repair and reform is weighing on credit growth , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies , through large and volatile capital flows",0.0
"Better central bank communications may help bring down real interest rates and provide added support to demand , including by reassuring markets against premature tightening",0.0
"Exiting from public support policies should be viewed in the context of bridging towards strong , sustained and balanced growth with price stability",0.0
"To ensure transmission of tighter monetary conditions to the real economy , central banks will also need to withdraw excess bank reserves created by their exceptional liquidity provision and unconventional measures",1.0
advanced and emerging economies can start tightening policies now,1.0
and greater confidence in policymakers ' ability to act decisively,0.0
"There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate , conscious of global disinflationary trends and confirming along the way",0.0
that wage and price inflation are indeed maintaining their steady upward momentum,0.0
"It would also be beneficial to reorient spending notably , to protect vulnerable sections of society against commodity price increases",0.0
"At the same time , however , policymakers should be mindful of the impact of such action on other economies , notably through large and volatile capital flows",0.0
"Furthermore , fiscal policy adjustment typically has a long lead time relative to monetary policy",0.0
It should also consider providing stronger guidance to markets by moving to more monetary policy communication to increase the transparency of its assessment of inflation prospects and strengthen the signal of its commitment to the inflation target,0.0
"For instance , streamlining service or product sector regulations in surplus economies for example , in Japan , Korea , and Germany will encourage domestic demand and relative price adjustments",0.0
"It will also make systemic institutions more resilient , help contain asset price and credit dynamics , and cushion",0.0
the consequences of liquidity squeezes if volatility spikes,0.0
"A tightening cycle has begun in other advanced economies for example , Australia , Canada , Korea , but these central banks have signaled caution in further tightening given",0.0
increased downside risks to the global economy,0.0
Policymakers should employ appropriate macro and tools to mitigate such outcomes,0.0
"At the same time , progress on other fronts is crucial",0.0
The problems facing the global economy are complex and joint action can help,0.0
"Over the medium run , priority should be given to completing the banking union , strengthening the single market , and moving closer to a fiscal union",0.0
"Depending on country needs , comprehensive action will combine structural reforms with demand support , anchored by coherent and policy frameworks",0.0
"This is becoming increasingly relevant for many emerging economies , notably in Asia ,",0.0
that are already witnessing relatively vigorous rebounds of activity,0.0
Fiscal tightening should also be the priority,0.0
"where stimulus measures have contributed directly to a strong rebound in domestic demand , or",0.0
where market concerns regarding public debt sustainability are high or rising,0.0
Monetary easing can be the first line of defense against liquidity pressures and downside risks,0.0
"where inflation is firmly anchored ,",0.0
"although capital flow reversals , external financing needs , and financial stability risks might constrain scope for action in some countries",0.0
"In the United States , improving the transmission of the monetary easing",0.0
would require resolution of the household debt overhang,0.0
Prudential authorities will need to be watchful of risks flowing from low interest rates,0.0
In some advanced economies that have fiscal space and are operating at or close to capacity ,0.0
additional spending could boost potential growth and create positive transitional spillovers for others,0.0
"In the United States and the United Kingdom , where the recovery is stronger",0.0
the challenge is to manage exit from exceptionally accommodative monetary policies,0.0
as output gaps shrink,0.0
"In the United States , agreement on a credible fiscal roadmap could help create some policy space , mitigate risks of excessive consolidation , and ease the burden currently placed on monetary policy",0.0
