index,sentence,hirose_san_score,hirose_san_topic
20160901_1_9_1_5,when fiscal and monetary policies can provide support,0,0
20160901_1_11_1_1,The IMF prepared detailed recommendations along these lines on the occasion of the Finance Ministers and Central Bank Governors ' Meetings in July 2016,0,0
20160901_1_22_1_1,"In the United States , monetary policy should continue to remain data-dependent ,",,
20160901_1_9_1_4,job seekers find work faster or,0,0
20160901_1_25_1_1,"Taking advantage of the current low interest rate environment and depending on the availability of fiscal space , there is a case for more public investment",0,0
20160901_1_19_1_1,"In many emerging markets , financial market reforms have the potential to assist the effective transmission of monetary policies while allowing for sustainable credit expansions",0,0
20160901_1_29_1_1,It is crucial,-9,-9
20160901_1_27_1_1,"In a number of countries , it may be appropriate to devote fiscal resources to reduce private sector debt overhangs and repair financial sector balance sheets",0,0
20160901_1_6_1_1,"Efforts to advance global trade integration , lower financial stability risks , and address geopolitical spillovers remain vital",-9,-9
20160901_1_29_1_2,"that fiscal frameworks limit long-run public sector balance sheet risks , while allowing for counter-cyclical demand support and rising deficits",-9,-9
20160901_1_31_1_1,"In this context , the recent formal adoption of a symmetrical inflation target by India should provide a robust institutional foundation for maintaining price stability",0,1
20160901_1_8_1_1,Recent IMF research shows,0,0
20160901_1_17_1_1,banking system stability is also a priority,0,0
20160901_1_12_1_1,5 A combination of structural reforms and more expansionary demand policies in surplus economies can also help reduce global external imbalances,,
20160901_1_23_1_1,"Where monetary policy operates near or at the lower bound , growth-friendly fiscal policy has an important role to play",,
20160901_1_30_1_1,Credible monetary frameworks,-9,-9
20160901_1_32_2_1,policy objectives can provide further assurance,,
20160901_1_9_1_1,"For example , some labor market reforms benefit employment more",0,0
20160901_1_16_1_1,"This process will benefit from continuing macroeconomic support including , for example , through the use of tax incentives and by providing protection for vulnerable households",0,0
20160901_1_5_1_2,"where necessary , providing effective support to those",0,0
20160901_1_7_1_2,when needed are essential,-9,-9
20160901_1_8_1_2,that structural reforms are most effective,0,0
20160901_1_9_1_3,as this helps,0,0
20160901_1_32_1_1,"Where inflation targeting frameworks are already established , improving the transparency of instruments",,
20160901_1_28_1_1,Macroeconomic policies are most effective,0,0
20160901_1_18_2_1,"it also provides an opportunity to accelerate the impact of much-needed structural reforms , in particular in the labor market",,
20160901_1_1_1_1,Sustainably higher and inclusive growth requires more forceful and comprehensive policies,0,0
20160901_1_13_1_1,Several policies can be deployed now to support reforms and contain risks,-9,-9
20160901_1_22_1_2,while downside risks to the outlook confirm the case for a very gradual upward path for the federal funds rate,0,0
20160901_1_24_1_1,"Indeed , a strategy of deploying all available tools can counter damaging perceptions",0,0
20160901_1_8_1_3,"when they directly address an economy 's known structural policy gaps and take account of its level of development , its position in the business cycle , and the available macroeconomic policy space",0,0
20160901_1_24_1_2,that the policy space to use individual instruments might be limited,0,0
20160901_1_26_1_1,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth,0,0
20160901_1_29_2_2,when growth is robust,-9,-9
20160901_1_7_1_1,Structural reforms prioritized to maximize impact and combined with complementary macroeconomic policies,-9,-9
20160901_1_10_1_1,"Other measures , such as lowering barriers for new firms to enter product and services markets , tend to have immediate demand benefits by raising investment and are , therefore , less dependent on the state of the business cycle",0,0
20160901_1_29_2_1,that fiscal space is rebuilt,-9,-9
20160901_1_28_1_2,when deployed within coherent frameworks,0,0
20160901_1_14_1_1,"Where demand is still lacking , there is scope for macroeconomic policies to help short-term growth while advancing the impact of structural reforms",,
20160901_1_4_1_1,"Where interest rates are at or near their effective lower bounds , fiscal policy must play a larger role",0,0
20160901_1_30_1_2,that anchor long-run inflation expectations can accommodate spikes in inflation rates over the short to medium-term,-9,-9
20160901_1_9_1_2,when demand is already strong,0,0
20160901_1_15_1_1,"In Europe , the resolution of non-performing loans should be accelerated through a combination of stricter supervision , insolvency reform , and the facilitation of secondary markets in distressed debt",,
20160901_1_20_1_1,"Where inflation is still well below targets , monetary policy should remain expansionary , using all available instruments for example , in Japan and the euro area",1,1
20160901_1_2_1_1,"With multiple interdependent factors holding back growth , policymakers have to work all necessary levers structural policies including to promote financial stability and trade , fiscal policies , and monetary policy",0,0
20160901_1_5_1_1,"At the same time , policymakers can raise confidence by explaining to citizens the benefits of reform and ,",0,0
20160901_1_18_1_1,"In Japan , the recently announced additional fiscal stimulus",,
20160901_1_21_1_1,"In the United Kingdom , a range of recent monetary and other policy measures by the Bank of England will support the economy and thereby mitigate downside risks",0,0
20160901_1_18_1_2,"is set to boost demand along with expansionary monetary policy ,",,
20160901_1_32_2_2,that contractionary shocks will be absorbed .,0,0
20160901_1_3_1_1,"Depending on country needs , comprehensive action will combine structural reforms with demand support , anchored by coherent and well-communicated policy frameworks",,
20160901_1_5_1_3,who disproportionately shoulder the burden of adjustment,0,0
20160901_1_29_1_3,"when the economy is weak ,",-9,-9
20120120_1_1_1_1,The three requirements for a more resilient recovery are sustained but gradual adjustment,0,0
20120120_1_15_1_1,But this must be accompanied by macro - prudential measures and enhanced financial supervision,,
20120120_1_13_1_2,"that the transmission mechanism for monetary policy remains effective , efforts should be directed at devising targeted schemes",,
20120120_1_10_1_2,"for which room exists , and ,",0,0
20120120_1_11_1_2,economies should remain highly accommodative,1,1
20120120_1_8_1_1,"The adverse feedback loops between low growth , deteriorating public finances , and banking sector stress could lead to a prolong period of asset and consumer price deflation",0,0
20120120_1_5_1_1,"Countries with relatively strong fiscal and external positions , for example , should not adjust to the same extent as countries facing market pressures",-9,-9
20120120_1_7_1_1,Easier monetary policy,-9,-9
20120120_1_2_1_1,"ample liquidity and easy monetary policy , mainly in advanced economies",0,0
20120120_1_15_1_2,where there are risks of overheating in some sectors such as real estate .,0,0
20120120_1_6_1_1,"A successful resolution of the current crisis will thus require a cohesive , comprehensive , and cooperative package of policies across the G-20",,
20120120_1_4_1_2,lest their efforts become self-defeating,0,0
20120120_1_13_1_1,"In particular , to ensure",,
20120120_1_14_1_1,"Monetary policies can be eased in economies with diminishing inflationary pressure but weaker fiscal fundamentals for example , various economies in Latin America",1,1
20120120_1_12_1_2,if needed,0,0
20120120_1_10_1_1,"This could be achieved by lower ECB monetary policy interest rates ,",0,0
