,sentence,fiscal_stance,fiscal_analysis,economic_condition,monetary_policy,other_policies,risk
0,financial system public finances need adjust medium term,1,0,0,0,0,0
1,trend natural question be extent fiscal adjustment be require return debt-to-gdp ratio pre-crisis level,0,1,0,0,0,0
2,require adjustment depend magnitude increase debt ratio adjustment start current primary balance growth-adjusted interest rate target year Table,0,1,0,0,0,0
3,later fiscal adjustment start larger be require primary balance return pre-crisis debt-level,0,1,0,0,0,0
4,give WEO baseline growth debt trajectory assume adjustment begin take place 10-year period illustrative calculation suggest require primary surplus-to-gdp ratio be percent require average adjustment percent GDP,0,1,0,0,0,0
5,delay start adjustment year raise require primary surplus ten-year period percent GDP require average adjustment percent GDP,0,1,0,0,0,0
6,be significant cross-country variation calculation,0,1,0,0,0,0
7,face prospects rise public debt ratio country need develop convincing strategy ensure fiscal sustainability something few g-20 country have do,1,0,0,0,0,0
8,be explore new fiscal rule such Germany be consider new constitutional rule structural balance limit federal state level,0,1,0,0,0,0
9,other be consider less formal non-binding target public debt deficit demand significant sustained adjustment,0,1,0,0,0,0
10,target be future,0,1,0,0,0,0
11,reflect financial sector support measure fiscal stimulus package impact non-discretionary factor debt-to-gdp ratio g-20 country be project be percentage point level figure,0,1,0,0,0,0
12,publication ten-year fiscal forecast United States be welcome step include increase transparency,0,1,0,0,0,0
13,projection growth interest rate appear optimistic,0,1,0,0,0,0
14,consolidation policy have be moot have focus increase taxation fuel make income tax progressive case limit growth current spending cut capital expenditure,0,1,0,0,0,0
15,most g-20 country be count revival tax revenue reversal discretionary spending initiative condition improve Table,0,1,0,0,0,0
16,be difficult resolve fiscal problem rely improvement cyclical revenue revenue base have be lose example elevated profit financial sector real estate,0,1,0,0,0,0
17,gain unwind fiscal financial support operation be uncertain country significant political capital need be expend ensure stimulus measure do become permanent,0,1,0,0,0,0
18,renew stimulus reduce deficit public debt,0,1,0,0,0,0
19,demographic pressure continue build consequence health pension outlay medium long-term fiscal sustainability,0,1,0,0,0,0
20,strategy include reform entitlement fiscal consolidation other structural fiscal reform,1,0,0,0,0,0
21,pension health care reform be critical address key source fiscal pressure next few decade,1,0,0,0,0,0
22,Staff estimate net present value future entitlement spending increase be time larger fiscal cost current crisis,0,1,0,0,0,0
23,technical political groundwork feasible reform solution proceed respect health reform difficult complex choice be involve,1,0,0,0,0,0
24,most increase occur advanced country see rise debt ratio percentage point period more increase account impact automatic stabilizer weaker asset price fiscal stimulus financial sector support measure higher interest payment Table,0,1,0,0,0,0
25,Action be critical progress key pillar strategy address pressure reduce budget deficit lower public debt level short term make room future entitlement spending increase have be undermine crisis,1,0,0,0,0,0
26,fiscal policy be complement growth-enhancing structural reform,0,0,0,0,1,0
27,percentage point rise real GDP growth assume constant spending year lower public debt percent GDP percent tax rate,0,1,0,0,0,0
28,other element be important tax policy avoid excessive tax competition race bottom,1,0,0,0,0,0
29,fiscal pressure government need do same,1,0,0,0,0,0
30,avoid abrupt global adjustment global level policy need be consider g-20 time tighten come,0,0,0,0,1,0
31,emerge economy project medium-term debt path be benign owe higher growth,0,1,0,0,0,0
32,overall fiscal deficit remain larger output gap be project close compare percentage point GDP advanced country percentage point emerge market,0,1,0,0,0,0
33,advanced country reflect higher interest payment percentage point GDP average higher primary expenditure,0,1,0,0,0,0
34,emerge market revenue gain country offset sustained lower commodity revenue high level other,0,1,0,0,0,0
35,increase primary expenditure offset modest project savings interest payment,0,1,0,0,0,0
