fomc_d,fomc_p,type,word
0,0,NN,inflation
0,0,NN,rate
0,0,NN,market
0,0,NN,price
0,0,NN,Committee
0,0,NN,participant
0,0,NN,policy
0,0,NN,labor
0,0,NN,growth
0,0,NN,condition
0,0,NN,period
0,0,NN,quarter
0,0,NN,year
0,0,NN,level
0,0,NN,pace
0,0,NN,consumer
0,0,NN,month
0,0,NN,activity
0,0,NN,outlook
0,1,NN,increase
0,0,NN,security
0,0,NN,fund
0,0,NN,business
0,0,NN,expectation
0,0,NN,percent
0,0,NN,unemployment
0,0,NN,risk
0,1,NN,spending
0,0,NN,meeting
0,0,NN,loan
0,-1,NN,decline
0,0,NN,purchase
0,0,NN,member
0,0,NN,measure
0,0,NN,credit
0,0,NN,United
0,0,NN,employment
0,0,NN,time
0,0,NN,economy
0,0,NN,States
0,0,NN,range
0,0,NN,energy
0,0,NN,staff
0,0,NN,Treasury
0,0,NN,sector
0,0,NN,term
0,0,NN,datum
0,0,NN,objective
0,0,NN,yield
0,0,NN,survey
0,0,NN,balance
0,0,NN,bank
0,0,NN,indicator
0,0,NN,information
0,0,NN,part
0,0,NN,gain
0,0,NN,sale
0,0,NN,GDP
0,0,NN,index
0,0,NN,development
0,0,NN,household
0,0,NN,target
0,0,NN,asset
0,1,NN,improvement
0,0,NN,equity
0,0,NN,Federal
0,0,NN,agency
0,0,NN,recovery
0,0,NN,spread
0,0,NN,bond
0,1,NN,investment
0,0,NN,mortgage
0,0,NN,number
0,0,NN,housing
0,0,NN,forecast
0,0,NN,effect
0,0,NN,demand
0,0,NN,projection
0,0,NN,home
0,0,NN,dollar
0,-1,NN,concern
0,0,NN,production
0,0,NN,net
0,0,NN,firm
0,0,NN,July
0,0,NN,June
0,0,NN,debt
0,0,NN,change
0,0,NN,factor
0,0,NN,import
0,0,NN,export
0,0,NN,interest
0,0,NN,pressure
0,0,NN,compensation
0,0,NN,January
0,0,NN,Reserve
0,0,NN,issuance
0,0,NN,March
0,0,NN,FOMC
0,0,NN,April
