,Hirose_san_score,model_score,sentence,sentence_root
0,0.0,0.0,"if capital flow reversals materialize ,",capital flow reversal materialize
1,0.0,0.0,"Credible macroeconomic policies and frameworks , alongside exchange rate flexibility are needed to weather the turbulence",credible macroeconomic policy framework exchange rate flexibility be need weather turbulence
2,0.0,1.0,"There is increasing divergence in the monetary policy stances between advanced and emerging economies , reflecting macroeconomic developments ,",be increase divergence monetary policy stance advanced emerge economy reflect macroeconomic development
3,0.0,0.0,"as fiscal support is phased out , could undercut global recovery",fiscal support be phase could undercut global recovery
4,0.0,0.0,"As a result , central banks have also taken a number of unconventional measures , including direct intervention in credit markets",result central bank have take number unconventional measure include direct intervention credit market
5,0.0,0.0,"On October 31 st , the Bank of Japan BoJ expanded its Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets ,",October st Bank Japan BoJ expand quantitative qualitative Monetary Easing QQE framework accelerate purchase jgb extend maturity triple purchase private asset
6,0.0,0.0,Appropriate sequencing is important for an orderly withdrawal,appropriate sequencing be important orderly withdrawal
7,0.0,0.0,"Monetary policy must remain the first line of defense ,",Monetary policy must remain first line defense
8,1.0,0.0,"where policy credibility has come into question , need to continue tightening monetary policy in the context of strengthened policy frameworks India and Turkey .",policy credibility have come question need continue tighten monetary policy context strengthened policy framework India Turkey
9,0.0,0.0,Deploying tools to limit financial risks,deploy tool limit financial risk
10,0.0,0.0,"It is important , however , to consider macroeconomic conditions",be important consider macroeconomic condition
11,0.0,0.0,To balance inflation concerns particularly in conjunction with the large increase in government indebtedness and central bank balance sheets and the risk,balance inflation concern conjunction large increase government indebtedness central bank balance sheet risk
12,1.0,1.0,"In a number of emerging economies , by contrast , monetary policy may have to tighten sooner and might therefore be more synchronous with or even lead fiscal consolidation",number emerge economy contrast monetary policy may have tighten might be synchronous lead fiscal consolidation
13,0.0,0.0,"In Japan , the BoJ 's objective to raise inflation to 2 percent and the sweeping enhancements to the monetary framework are welcome",Japan BoJ objective raise inflation percent sweeping enhancement monetary framework be welcome
14,0.0,1.0,"In contrast , monetary policy in the euro area and Japan is expected to remain more accommodative for an extended period",contrast monetary policy euro area Japan be expect remain more accommodative extended period
15,0.0,0.0,"Taking advantage of the current low interest rate environment and depending on the availability of fiscal space , there is a case for more public investment",take advantage current low interest rate environment depend availability fiscal space be case more public investment
16,0.0,0.0,"Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014",Brazil slow economic condition will make difficult achieve original budget target
17,0.0,0.0,Fiscal positions should generally aim at rebuilding policy space,fiscal position should aim rebuild policy space
18,1.0,1.0,"In economies where monetary policy is still very accommodative and inflation above target , some monetary policy tightening may be needed to bring inflation back to target",economy monetary policy be accommodative inflation target monetary policy tightening may be need bring inflation target
19,0.0,0.0,Priority should be given to fiscal consolidation particularly in countries,priority should be give fiscal consolidation country
20,0.0,0.0,"their policies might have , for instance on linkages , corporate leverage , and financial innovation as well as external spillovers",policy might have instance linkage corporate leverage financial innovation external spillover
21,0.0,1.0,"This could be achieved by lower ECB monetary policy interest rates ,",could be achieve lower ecb monetary policy interest rate
22,0.0,0.0,"In case actual or expected inflation stagnate or growth disappoints , the Bank of Japan should act swiftly through further and/or asset purchases",case actual expect inflation stagnate growth disappoint Bank Japan should act further asset purchase
23,0.0,0.0,"In Latin America , economies are operating close to speed limit ,",Latin America economy be operate speed limit
24,0.0,0.0,"where inflation is firmly anchored ,",inflation be anchor
25,0.0,0.0,"In countries facing growth and inflation , macroeconomic policies will have to weigh possible",country face growth inflation macroeconomic policy will have weigh possible
26,0.0,0.0,Maintaining unconventional,maintain unconventional
27,0.0,0.0,if needed will help meet ECB 's price stability objective,need will help meet ECB price stability objective
28,0.0,0.0,"Emerging economies face starkly diverse cyclical positions , but the emphasis should generally be on enhancing resilience",emerge economy face diverse cyclical position emphasis should be enhance resilience
29,0.0,1.0,Monetary policy should be the first response to spillovers from advanced economies,Monetary policy should be first response spillover advanced economy
30,0.0,0.0,which are expanding rapidly,be expand
31,0.0,0.0,"In the euro area , the ECB 's expanded asset purchase program has improved confidence and financial conditions , and raised inflation expectations initially",euro area ECB expand asset purchase program have improve confidence financial condition raise inflation expectation
32,0.0,0.0,which dampens the supply response and amplifies global price volatility,dampen supply response amplify global price volatility
33,0.0,0.0,that do not affect the economic recovery in the such as entitlement reforms should thus be implemented soon to enhance credibility,do affect economic recovery such entitlement reform should be implement enhance credibility
34,0.0,0.0,Exploiting synergies between support and structural reforms is even more crucial,exploit synergy support structural reform be crucial
35,0.0,0.0,"Building on recent achievements , the authorities should aim for sustained wage inflation , supported by higher public sector and minimum wages , alongside labor market reforms",building recent achievement authority should aim sustained wage inflation support higher public sector minimum wages labor market reform
36,0.0,0.0,"In the euro area , robust action and are required on multiple fronts",euro area robust action be require multiple front
37,1.0,0.0,"Monetary policy can remain accommodative in the major advanced countries , but central banks need to prepare and clearly communicate credible strategies for unwinding the extraordinary monetary policy support",Monetary policy can remain accommodative major advanced country central bank need prepare communicate credible strategy unwind extraordinary monetary policy support
38,1.0,1.0,Monetary policies in other advanced economies should remain highly accommodative,Monetary policy other advanced economy should remain accommodative
39,0.0,0.0,"Second , additional demand support from fiscal policies",additional demand support fiscal policy
40,0.0,0.0,"The scale of fiscal adjustment required to ensure fiscal sustainability will be large , particularly in advanced economies",scale fiscal adjustment require ensure fiscal sustainability will be large advanced economy
41,0.0,0.0,"In many advanced economies , the financial sector remains the Achilles heel of recovery prospects for private demand",many advanced economy financial sector remain Achilles heel recovery prospects private demand
42,0.0,0.0,"Capital controls can be used in some cases , but they should not substitute for necessary macroeconomic and prudential policies",Capital control can be use case should substitute necessary macroeconomic prudential policy
43,0.0,0.0,"Accordingly , in countries with fiscal room , automatic stabilizers should be allowed to play freely , and",country fiscal room automatic stabilizer should be allow play
44,1.0,1.0,"To forestall this adverse circuit , the ECB 's monetary policy should be highly accommodative , consistent with its mandate of ensuring price stability",forestall adverse circuit ECB monetary policy should be accommodative consistent mandate ensure price stability
45,0.0,0.0,"Term repo rates have declined in major advanced economies , as a result of both policy rate cuts and central bank operations",term repo rate have decline major advanced economy result policy rate cut central bank operation
46,0.0,1.0,Monetary Policy : Accommodative in Advanced Economies,Monetary Policy Accommodative Advanced Economies
47,0.0,0.0,"In many emerging market economies , macroeconomic policy space",many emerge market economy macroeconomic policy space
48,0.0,0.0,as discussed below,discuss
49,0.0,0.0,Dealing with commodity price rises poses a particular challenge,deal commodity price rise pose particular challenge
50,0.0,0.0,an expansionary fiscal stance has a direct impact,expansionary fiscal stance have direct impact
51,0.0,1.0,while a monetary tightening will contribute to a worsening of the fiscal position,monetary tightening will contribute worsening fiscal position
52,0.0,0.0,even though output growth and capacity utilization would continue to be above trend,output growth capacity utilization would continue be above trend
53,0.0,0.0,demand pressures may be preferable,demand pressure may be preferable
54,0.0,0.0,where needed attuned to supporting the recovery,need attuned support recovery
55,1.0,1.0,"Where inflationary pressures are diminishing and fiscal fundamentals are weak , monetary policy can be eased",inflationary pressure be diminish fiscal fundamental be weak monetary policy can be ease
56,0.0,0.0,which should support domestic demand,should support domestic demand
57,1.0,1.0,"With output gaps still large , and inflation running below target , accommodative monetary conditions remain essential for advanced economies , including in the United States , to avoid cyclical impediments to growth from becoming structural",output gap large inflation run target accommodative monetary condition remain essential advanced economy include United States avoid cyclical impediment growth become structural
58,0.0,0.0,"as private sector leverage has increased significantly , and current account positions have deteriorated",private sector leverage have increase current account position have deteriorate
59,0.0,0.0,International cooperation is needed to achieve more orderly resolution across borders and consistent regulatory frameworks and supervision,International cooperation be need achieve more orderly resolution border consistent regulatory framework supervision
60,0.0,0.0,"In an environment of ongoing but incomplete transition to financial stability , changing growth dynamics and concerns about slow growth and high unemployment , achieving a better policy mix is important",environment ongoing incomplete transition financial stability change growth dynamics concern slow growth high unemployment achieve better policy mix be important
61,0.0,0.0,"where stabilizers are small , temporary support , such as extended unemployment benefits or wage subsidies , could be continued",stabilizer be small temporary support such extended unemployment benefit wage subsidy could be continue
62,1.0,0.0,"is needed to raise the prospects of achieving the ECB 's inflation objective , including by supporting demand , given the weak and fragile growth , large output gaps and very low inflation",be need raise prospects achieve ECB inflation objective include support demand give weak fragile growth large output gap low inflation
63,0.0,0.0,"when they directly address an economy 's known structural policy gaps and take account of its level of development , its position in the business cycle , and the available macroeconomic policy space",address economy known structural policy gap take account level development position business cycle available macroeconomic policy space
64,0.0,0.0,"Nonetheless , some economies for example , Turkey",economy example Turkey
65,0.0,0.0,The strengthening of the recovery and unwinding of accommodative monetary policy in advanced economies will lead to tighter external financing conditions and could generate further bouts of volatility in capital flows,strengthening recovery unwind accommodative monetary policy advanced economy will lead tighter external financing condition could generate further bout volatility capital flow
66,1.0,1.0,that monetary policy would only be tightened once the macroeconomic environment improves and the outlook for inflation picks up,monetary policy would be tighten macroeconomic environment improve outlook inflation pick
67,0.0,0.0,to complete and implement the regulatory reform agenda,complete implement regulatory reform agenda
68,1.0,0.0,The timing of the policy rate increase should be attuned to inflation and labor market developments,timing policy rate increase should be attuned inflation labor market development
69,1.0,1.0,Monetary policy needs to remain accommodative,Monetary policy need remain accommodative
70,0.0,0.0,"In the euro area , the overall fiscal stance planned for 2014 is neutral ,",euro area overall fiscal stance plan be neutral
71,0.0,0.0,and exits in emerging economies with excessive current account surpluses should be accompanied by exchange rate appreciation,exit emerge economy excessive current account surplus should be accompany exchange rate appreciation
72,0.0,0.0,"As the priority in major advanced economies is to put in place sound fiscal programs , tightening monetary policies prematurely ,",priority major advanced economy be put place sound fiscal program tighten monetary policy
73,0.0,0.0,Public debt is above pre in most countries and structural issues and lower potential output point to lower fiscal space than previously estimated,public debt be pre most country structural issue lower potential output point lower fiscal space estimate
74,0.0,0.0,These economies may have to consider tightening their fiscal stance more quickly,economy may have consider tighten fiscal stance
75,1.0,1.0,"In this context , the Bank of Japan should stand ready for further easing",context Bank Japan should stand ready further ease
76,0.0,0.0,The Fund 's financial stress indices for the major advanced economies have all,Fund financial stress index major advanced economy have
77,0.0,0.0,as interest rates gradually increase and the demographic transition intensifies,interest rate increase demographic transition intensify
78,0.0,0.0,"In the United Kingdom , a range of recent monetary and other policy measures by the Bank of England will support the economy and thereby mitigate downside risks",United Kingdom range recent monetary other policy measure Bank England will support economy mitigate downside risk
79,0.0,0.0,accommodation will likely need to be withdrawn sooner,accommodation will need be withdraw
80,0.0,0.0,"Large international reserves have provided scope , in some cases , to counter exchange rate volatility and sustain the availability of foreign currency funding , for example for trade finance",large international reserve have provide scope case counter exchange rate volatility sustain availability foreign currency funding example trade finance
81,0.0,1.0,could be continued,could be continue
82,0.0,0.0,"When there is economic slack and monetary accommodation , demand effects are stronger , and the boost in output can lead to a decline in the ratio",be economic slack monetary accommodation demand effect be stronger boost output can lead decline ratio
83,0.0,0.0,"In India , more efforts are needed to continue reducing stubbornly high inflation and the large fiscal deficit",India more effort be need continue reduce high inflation large fiscal deficit
84,0.0,0.0,Vulnerabilities in corporate financial positions and public bank asset quality could threaten financial stability,vulnerability corporate financial position public bank asset quality could threaten financial stability
85,0.0,0.0,on the build up of debt,build debt
86,0.0,0.0,"In the euro area , countries with fiscal space should do more to support growth for example , through infrastructure investment in Germany",euro area country fiscal space should do more support growth example infrastructure investment Germany
87,0.0,0.0,Considerable uncertainty remains about the commitment of the government to put in place the complete package of policies required for a successful outcome,considerable uncertainty remain commitment government put place complete package policy require successful outcome
88,0.0,0.0,where further reserve accumulation or exchange rate appreciation are not warranted,reserve accumulation exchange rate appreciation be warrant
89,0.0,0.0,where inflation and expectations are well anchored to provide room for maneuver,inflation expectation be anchor provide room maneuver
90,0.0,0.0,"While approaches have differed , major central banks have acted effectively to support economic activity and credit creation",approach have differ major central bank have act support economic activity credit creation
91,0.0,0.0,regulatory uncertainty will strengthen financial systems and help catalyze rapid growth,regulatory uncertainty will strengthen financial system help catalyze rapid growth
92,1.0,1.0,"In Japan , the Bank of Japan should stand ready for further easing , preferably by extending purchases under its quantitative and qualitative monetary easing program to assets",Japan Bank Japan should stand ready further ease extend purchase quantitative qualitative monetary ease program asset
93,0.0,0.0,that could have a beneficial impact on public finances over the,could have beneficial impact public finances
94,0.0,0.0,"The new government should complement the proposed cap on federal noninterest spending with tax measures and address spending rigidities and unsustainable mandates , including in the pension system",new government should complement propose cap federal noninterest spending tax measure address spending rigidity unsustainable mandate include pension system
95,0.0,0.0,"At the same time , the design of fiscal policy should better support",same time design fiscal policy should support
96,0.0,1.0,"Some countries for example , Argentina and India should remain watchful of inflationary pressures and can not afford to lower interest rates further",country example Argentina India should remain watchful inflationary pressure can afford lower interest rate
97,0.0,1.0,"In the United States , the main policy question is the appropriate timing and pace of monetary policy normalization",United States main policy question be appropriate timing pace monetary policy normalization
98,1.0,0.0,"The recent pause in monetary policy easing has been appropriate given the risks to inflation from ruble depreciation , external risks , and the need to build credibility under the newly introduced inflation targeting regime .",recent pause monetary policy easing have be appropriate give risk inflation ruble depreciation external risk need build credibility introduce inflation target regime
99,0.0,0.0,The pace of recapitalization needs to be accelerated in order to provide cushions against asset losses or shocks to liquidity,pace recapitalization need be accelerate order provide cushion asset loss shock liquidity
100,0.0,0.0,until continued strength in the labor market is accompanied by firm signs of inflation rising steadily toward the Federal Reserve 's 2 percent inflation objective,continued strength labor market be accompany firm sign inflation rise Federal Reserve percent inflation objective
101,0.0,0.0,"In the United States , following the increase of the federal funds rate in , further actions should be and based on clear evidence of wage or price pressures and an assessment",United States follow increase federal fund rate action should be base clear evidence wage price pressure assessment
102,1.0,0.0,"In particular , maintaining accommodative monetary policy through 2011 , including through an expansion of central bank balance sheets , can counteract some of the contractionary effects of fiscal consolidation",particular maintain accommodative monetary policy include expansion central bank balance sheet can counteract contractionary effect fiscal consolidation
