index,sentence,subsentence_detail,score_detail,fiscal_stance,fiscal_analysis,economic_condition,monetary_policy,other_policies,risk,no_topic,fiscal_stance_dum
20120518_1_2,"We agree on the importance of a strong and cohesive Eurozone for global stability and recovery, and we affirm our interest in Greece remaining in the Eurozone while respecting its commitments","└── agree 0.0 0.0 other_policies
    ├── recovery 0 0 fiscal_stance,other_policies//
    └── affirm 0.0 0.0 //
        └── respect 0 0.0 //
","{'degree': [], 'polarity': [('strong', 1)]}",0.0,0.0,0,0.0,0.0,0,0,0.0
20120518_1_3,We all have an interest in the success of specific measures to strengthen the resilience of the Eurozone and growth in Europe,"└── have 0.0 0.0 fiscal_analysis
    └── strengthen 0.0 0.0 //
        └── growth 0 0.0 fiscal_analysis,economic_condition//
","{'degree': [], 'polarity': [('strengthen', 1)]}",0.0,0.0,0,0.0,0.0,0,0,0.0
20120518_1_4,"We support Euro Area Leaders’ resolve to address the strains in the Eurozone in a credible and timely manner and in a manner that fosters confidence, stability and growth","└── address 0.0 0.0 fiscal_analysis,other_policies//
    └── foster 0.0 0.0 fiscal_analysis,other_policies
        ├── stability 0 0.0 other_policies//
        └── growth 0 0.0 fiscal_analysis,economic_condition//
","{'degree': [], 'polarity': [('support', 1), ('strain', -1), ('confidence', 1)]}",0.0,0.0,0,0.0,0.0,0,0,1.0
20120518_1_7,"With an emphasis on mutual accountability and improved governance, building on the Kabul Process and Bonn Conference outcomes, our countries will take steps to mitigate the economic impact of the transition period and support the development of a sustainable Afghan economy by enhancing Afghan capacity to increase fiscal revenues and improve spending management, as well as mobilizing non-security assistance into the transformation decade.","├── emphasis 0.0 0.0 other_policies
│   └── improve 0.0 0.0 fiscal_analysis
│       ├── building 0 0.0 fiscal_analysis//
│       └── outcome 0 0.0 other_policies//
└── support 2.0 0.0 other_policies//
    ├── increase 1 1 fiscal_stance,fiscal_analysis//
    │   └── improve 0 1 fiscal_stance//
    └── mobilize 0 0.0 fiscal_analysis//
","{'degree': [], 'polarity': [('improve', 1), ('support', 1), ('mitigate', -1), ('sustainable', -1), ('increase', 1), ('improve', 1), ('spending', 1)]}",0.0,0.0,0,0.0,2.0,0,0,1.0
20120518_1_6,"We commit to fiscal responsibility and, in this context, we support sound and sustainable fiscal consolidation policies that take into account countries’ evolving economic conditions and underpin confidence and economic recovery","└── commit 0.0 0 fiscal_stance
    ├── commit 0 0.0 //
    └── support 0.0 0.0 
        └── take 0.0 0.0 other_policies
            └── underpin 0.0 0.0 fiscal_analysis,other_policies//
                └── recovery 0 0.0 //
","{'degree': [], 'polarity': [('support', 1), ('sustainable', -1), ('consolidation', -1), ('evolve', 1), ('confidence', 1)]}",0.0,0.0,0,0.0,0.0,0,0,1.0
20120518_1_1,"We welcome the ongoing discussion in Europe on how to generate growth, while maintaining a firm commitment to implement fiscal consolidation to be assessed on a structural basis","└── implement 0.0 -1 fiscal_stance,fiscal_analysis//
    └── assess 0 0.0 other_policies//
","{'degree': [], 'polarity': [('consolidation', -1)]}",-2.0,-2.0,0,0.0,0.0,0,0,1.0
20120518_1_5,"We agree that all of our governments need to take actions to boost confidence and nurture recovery including reforms to raise productivity, growth and demand within a sustainable, credible and non-inflationary macroeconomic framework","└── need -2.0 1 fiscal_stance
    └── nurture 0.0 -2 fiscal_stance//
        ├── growth 0 0.0 fiscal_analysis,economic_condition//
        └── demand 0 0.0 other_policies//
","{'degree': [], 'polarity': [('boost', 1), ('confidence', 1), ('reform', -1), ('raise', 1), ('sustainable', -1)]}",0.0,0.0,0,0.0,0.0,0,0,1.0
20150607_1_4,We reaffirm our existing G7 exchange rate commitments.,"└── reaffirm 0 0.0 other_policies
","{'degree': [], 'polarity': []}",0.0,0.0,0,0.0,0.0,0,0,0.0
20150607_1_1,We agree to deliver on past reform commitments in these areas which will increase confidence and lift sustainable growth,"└── increase 0.0 0.0 fiscal_analysis
    └── lift 0 0.0 //
","{'degree': [], 'polarity': [('reform', -1), ('increase', 1), ('confidence', 1), ('sustainable', -1)]}",0.0,0.0,0,0.0,0.0,0,0,1.0
20150607_1_2,"We will continue to implement our fiscal strategies flexibly to take into account near-term economic conditions, so as to support growth and job creation, while putting debt as a share of GDP on a sustainable path","└── continue 0.0 0 fiscal_stance
    └── take 0.0 0.0 //
        ├── support 0 0.0 fiscal_analysis//
        └── put 0 0.0 //
","{'degree': [], 'polarity': [('support', 1), ('sustainable', -1)]}",0.0,0.0,0,0.0,0.0,0,0,1.0
