,sentence,fiscal_stance,Hirose,model_score,check_Hirosesan,Accuracy_rate_Hirosesan,check,Accuracy_rate,Accuracy_rate_positive_Hirosesan,Accuracy_rate_positive,Accuracy_rate_negative_Hirosesan,Accuracy_rate_negative,Accuracy_rate_zero_Hirosesan,Accuracy_rate_zero
0,"With multiple interdependent factors holding back growth, policymakers have to work all necessary levers— structural policies (including to promote financial stability and trade), fiscal policies, and monetary policy",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
1,"Depending on country needs, comprehensive action will combine structural reforms with demand support, anchored by coherent and well-communicated policy frameworks",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
2,"Efforts to advance global trade integration, lower financial stability risks, and address geopolitical spillovers remain vital",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
3,"Taking advantage of the current low interest rate environment and depending on the availability of fiscal space, there is a case for more public investment",1,1.0,0,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
4,"Where interest rates are at or near their effective lower bounds, fiscal policy must play a larger role",0,1.0,0,False,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
5,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
6,Sustainably higher and inclusive growth requires more forceful and comprehensive policies,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
7,"In a number of countries, it may be appropriate to devote fiscal resources to reduce private sector debt overhangs and repair financial sector balance sheets.",-1,1.0,0,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
8,"Where monetary policy operates near or at the lower bound, growth-friendly fiscal policy has an important role to play",1,1.0,1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
9,But medium-term risks to the sustainability remain unaddressed,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
10,"Overdoing fiscal adjustment in the short run to counter cyclical revenue losses will undercut activity further, diminish popular support for adjustment, and further undermine market confidence",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
11,"In the United States and Japan, policymakers should redouble efforts to formulate and implement credible medium-term consolidation plans",-1,-1.0,-1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
12,"Countries with policy space might consider slowing structural fiscal adjustment in 2012, while maintaining their commitment to a credible medium-term consolidation plan",1,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
13,"In other G-20 advanced economies, there remains an urgent priority to set out a credible path for fiscal consolidation over the medium-term",-1,-1.0,-1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
14,"Measures could include entitlement reforms including new health care and pension saving measures, caps on discretionary spending, and tax system reforms to boost fiscal revenue",-1,-1.0,1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
15,those facing very low funding costs should consider a slower pace of consolidation,1,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
16,"Putting in place such plans will also reinforce policy room to support balance sheet repair, growth, and job creation during this period of heightened vulnerability",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
17,"Countries should allow automatic stabilizers operate freely, provided they can secure funding for higher deficits",1,0.0,0,True,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
18,"In the near term, sufficient fiscal adjustment is planned in most advanced economies",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
19,"In the United States, there is a risk that political paralysis could lead to an excessively rapid pace of deficit reduction, including an early expiry of the existing stimulus measures such as the payroll tax cut",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
