index,sentence_x,subsentence_detail,monetary_policy,monetary_score,monetary_view_score,tense,sentence_y,hirose_san_score,hirose_san_topic,select,match_score,match_view
20150904_1_6_1_1,Structural reforms are needed to raise potential output in both advanced and emerging economies,0.0,False,0,0,0,Structural reforms are needed to raise potential output in both advanced and emerging economies,0.0,0.0,0.00605539873970351,1,1
20150209_1_13_1_1,The unbalanced recovery across economies suggests,0.0,False,0,0,0,The unbalanced recovery across economies suggests,0.0,0.0,0.0068065740689771115,1,1
20140219_1_10_1_1,A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair,0.0,False,0,0,0,A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair,0.0,0.0,0.010441902453201757,1,1
20130221_1_14_1_3,inflation expectations remain well anchored,0.0,False,0,0,0,inflation expectations remain well anchored,0.0,0.0,0.015296516534056726,1,1
20110709_1_21_1_3,"as is more common , authorities will have to react faster and more strongly .",0.0,False,0,0,0,"as is more common , authorities will have to react faster and more strongly .",0.0,0.0,0.01593895068036455,1,1
20100227_1_12_1_1,"Hence , on balance fiscal consolidation should generally take priority , all else given",0.0,False,0,0,0,"Hence , on balance fiscal consolidation should generally take priority , all else given",0.0,0.0,0.017904180235598588,1,1
20170705_1_4_1_3,while at the same time having positive spillovers to other euro area economies,0.0,False,0,0,0,while at the same time having positive spillovers to other euro area economies,0.0,0.0,0.019281798039891496,1,1
20150209_1_33_1_1,Efforts to increase revenue mobilization and improve expenditure prioritization should continue,0.0,False,0,0,0,Efforts to increase revenue mobilization and improve expenditure prioritization should continue,0.0,0.0,0.019508403547986775,1,1
20140917_1_7_1_2,which is made difficult by uncertainties about the cyclical position and monetary transmission,0.0,False,0,0,0,which is made difficult by uncertainties about the cyclical position and monetary transmission,0.0,0.0,0.020020910061754216,1,1
20140917_1_35_1_1,"Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014",0.0,False,0,0,0,"Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014",0.0,0.0,0.020769453781090963,1,1
20160721_1_23_1_1,The quality of fiscal consolidation in India should be improved through a comprehensive tax reform such as introducing the goods and services tax and improving tax administration and measures to further reduce subsidies,0.0,False,0,0,0,The quality of fiscal consolidation in India should be improved through a comprehensive tax reform such as introducing the goods and services tax and improving tax administration and measures to further reduce subsidies,0.0,0.0,0.02153809313931243,1,1
20111015_1_5_1_1,"Building bank capital buffers will help to achieve this by breaking the adverse feedback loop between rising sovereign spreads , deteriorating bank funding , and flagging activity",0.0,False,0,0,0,"Building bank capital buffers will help to achieve this by breaking the adverse feedback loop between rising sovereign spreads , deteriorating bank funding , and flagging activity",0.0,0.0,0.02172748662956525,1,1
20160226_4_11_1_2,policy frameworks are imperative for a turnaround in confidence and investment,0.0,False,0,0,0,policy frameworks are imperative for a turnaround in confidence and investment,0.0,0.0,0.0290572552129873,1,1
20151115_1_12_1_1,"Accommodative monetary policies should be accompanied by efforts to strengthen balance sheets and credit supply , and by active macroprudential measures",,True,1,1,past,"Accommodative monetary policies should be accompanied by efforts to strengthen balance sheets and credit supply , and by active macroprudential measures",0.0,0.0,0.029922383357475213,0,0
20140917_1_32_1_1,"Exchange rate flexibility , alongside credible macroeconomic policies and frameworks , has also proven to be an essential tool in coping with volatile capital flows",0.0,False,0,0,0,"Exchange rate flexibility , alongside credible macroeconomic policies and frameworks , has also proven to be an essential tool in coping with volatile capital flows",0.0,0.0,0.032825081548578106,1,1
20140219_1_12_1_4,where debt dynamics are a concern and fiscal space is limited,0.0,False,0,0,0,where debt dynamics are a concern and fiscal space is limited,0.0,0.0,0.0340271842551394,1,1
20151115_1_29_1_1,"Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS",0.0,False,0,0,0,"Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS",0.0,0.0,0.03447370119795101,1,1
20160721_1_26_1_1,"Even as vulnerabilities are addressed , emerging economies",0.0,False,0,0,0,"Even as vulnerabilities are addressed , emerging economies",0.0,0.0,0.03484416772671228,1,1
20100604_1_2_1_2,demand pressures may be preferable,0.0,False,0,0,0,demand pressures may be preferable,0.0,0.0,0.035428827683142594,1,1
20110415_1_10_1_1,"In emerging economies , monetary policy may need to respond more sensitively to first-round inflation shocks from higher commodity prices due to higher pass-through mainly for food prices , less so for energy , less well-anchored inflation expectations , and economies",,True,1,1,future,"In emerging economies , monetary policy may need to respond more sensitively to first-round inflation shocks from higher commodity prices due to higher pass-through mainly for food prices , less so for energy , less well-anchored inflation expectations , and economies",-1.0,1.0,0.035514469319631314,0,0
