index,sentence,subsentence_detail,score_detail,fiscal_stance,fiscal_analysis,economic_condition,monetary_policy,other_policies,risk,no_topic,fiscal_stance_dum
20160901_1_27,"In a number of countries, it may be appropriate to devote fiscal resources to reduce private sector debt overhangs and repair financial sector balance sheets","└── appropriate 0.0 0.0 fiscal_analysis
    └── reduce 0.0 0.0 other_policies//
        └── repair 0 0.0 other_policies//
","{'polarity': [('reduce', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_14,"Where demand is still lacking, there is scope for macroeconomic policies to help short-term growth while advancing the impact of structural reforms","└── be 0.0 0 fiscal_stance,other_policies
    ├── lack 0 0.0 fiscal_analysis//
    └── advance 0 0.0 fiscal_analysis,other_policies//
","{'polarity': [('advance', 1), ('reform', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_19,"In many emerging markets, financial market reforms have the potential to assist the effective transmission of monetary policies while allowing for sustainable credit expansions","└── have 0.0 0.0 monetary_policy,other_policies
    └── allow 0 0.0 other_policies//
","{'polarity': [('reform', -1), ('sustainable', -1)], 'degree': [('potential', 0.5)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_25,"Taking advantage of the current low interest rate environment and depending on the availability of fiscal space, there is a case for more public investment","└── depend 0 0.0 fiscal_analysis//
","{'polarity': [('investment', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_5,"At the same time, policymakers can raise confidence by explaining to citizens the benefits of reform and, where necessary, providing effective support to those who disproportionately shoulder the burden of adjustment","└── raise 0.0 0.0 other_policies
    ├── explain 0 0.0 other_policies//
    └── shoulder 0 0.0 other_policies//
","{'polarity': [('raise', 1), ('confidence', 1), ('reform', -1), ('support', 1), ('adjustment', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_31,"In this context, the recent formal adoption of a symmetrical inflation target by India should provide a robust institutional foundation for maintaining price stability","└── maintain 0 0.0 fiscal_analysis,other_policies//
","{'polarity': [], 'degree': [('robust', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_7,Structural reforms—prioritized to maximize impact and combined with complementary macroeconomic policies when needed—are essential,"└── essential 0.0 0.0 other_policies
    └── combine 0 0.0 other_policies//
        └── need 0 0 fiscal_stance,other_policies//
","{'polarity': [('reform', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_21,"In the United Kingdom, a range of recent monetary and other policy measures by the Bank of England will support the economy and thereby mitigate downside risks","└── support 0.0 0.0 monetary_policy
    ├── measure 0 0.0 fiscal_analysis,other_policies//
    └── mitigate 0 0.0 risk,fiscal_analysis//
","{'polarity': [('support', 1), ('mitigate', -1), ('downside', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_16,"This process will benefit from continuing macroeconomic support—including, for example, through the use of tax incentives and by providing protection for vulnerable households","└── continue 0.0 0.0 fiscal_analysis,other_policies//
    └── provide 0 0.0 fiscal_analysis,other_policies//
","{'polarity': [('support', 1), ('tax', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_3,"Depending on country needs, comprehensive action will combine structural reforms with demand support, anchored by coherent and well-communicated policy frameworks","└── combine 0 0.0 other_policies
    └── need 0 0 fiscal_stance,other_policies//
","{'polarity': [('reform', -1), ('support', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
