,sentence,subsentence1,subsentence2
0,"In China, macro policies need to be adjusted for a moderate slowdown, allowing growth to settle at a sustainable level","In China , macro policies need to be adjusted for a moderate slowdown , allowing growth to settle at a sustainable level ","In China , macro policies need to be adjusted for a moderate slowdown , allowing growth to settle at a sustainable level"
1,"Specifically, implementing the 2010 quota and governance reforms, including their forward-looking elements, is imperative to provide the resources, credibility, and legitimacy the Fund needs to play an effective role in overseeing the IMS.","Specifically , implementing the 2010 quota and governance reforms , including their forward-looking elements , is imperative to provide the resources , credibility , and legitimacy the Fund needs to play an effective role in overseeing the IMS .","Specifically , implementing the 2010 quota and governance reforms , including their forward-looking elements , is imperative to provide the resources , credibility , and legitimacy"
2,"Specifically, implementing the 2010 quota and governance reforms, including their forward-looking elements, is imperative to provide the resources, credibility, and legitimacy the Fund needs to play an effective role in overseeing the IMS.","Specifically , implementing the 2010 quota and governance reforms , including their forward-looking elements , is imperative to provide the resources , credibility , and legitimacy the Fund needs to play an effective role in overseeing the IMS .",the Fund needs to play an effective role in overseeing the IMS .
3,"Short-term demand support still has an important part to play in advanced economies, but needs greater emphasis on growth-friendly fiscal policies","Short-term demand support still has an important part to play in advanced economies , but needs greater emphasis on growth-friendly fiscal policies ","Short-term demand support still has an important part to play in advanced economies , but needs greater emphasis on growth-friendly fiscal policies"
4,"Like fiscal policy, the pace of financial reform to safeguard stability—such as higher capital and liquidity buffers—should be carefully calibrated to support bank lending and real growth, while avoiding unnecessary delays that can be a source of regulatory uncertainty that can deter the willingness to lend","Like fiscal policy , the pace of financial reform to safeguard stability such as higher capital and liquidity buffers should be carefully calibrated to support bank lending and real growth , while avoiding unnecessary delays that can be a source of regulatory uncertainty that can deter the willingness to lend ","Like fiscal policy , the pace of financial reform to safeguard stability such as higher capital and liquidity buffers should be carefully calibrated to support bank lending and real growth ,"
5,"Like fiscal policy, the pace of financial reform to safeguard stability—such as higher capital and liquidity buffers—should be carefully calibrated to support bank lending and real growth, while avoiding unnecessary delays that can be a source of regulatory uncertainty that can deter the willingness to lend","Like fiscal policy , the pace of financial reform to safeguard stability such as higher capital and liquidity buffers should be carefully calibrated to support bank lending and real growth , while avoiding unnecessary delays that can be a source of regulatory uncertainty that can deter the willingness to lend ",while avoiding unnecessary delays
6,"Like fiscal policy, the pace of financial reform to safeguard stability—such as higher capital and liquidity buffers—should be carefully calibrated to support bank lending and real growth, while avoiding unnecessary delays that can be a source of regulatory uncertainty that can deter the willingness to lend","Like fiscal policy , the pace of financial reform to safeguard stability such as higher capital and liquidity buffers should be carefully calibrated to support bank lending and real growth , while avoiding unnecessary delays that can be a source of regulatory uncertainty that can deter the willingness to lend ",that can be a source of regulatory uncertainty
7,"Like fiscal policy, the pace of financial reform to safeguard stability—such as higher capital and liquidity buffers—should be carefully calibrated to support bank lending and real growth, while avoiding unnecessary delays that can be a source of regulatory uncertainty that can deter the willingness to lend","Like fiscal policy , the pace of financial reform to safeguard stability such as higher capital and liquidity buffers should be carefully calibrated to support bank lending and real growth , while avoiding unnecessary delays that can be a source of regulatory uncertainty that can deter the willingness to lend ",that can deter the willingness to lend
8,"In emerging markets, wherever possible, policymakers should continue to let the exchange rate act as a buffer against shocks","In emerging markets , wherever possible , policymakers should continue to let the exchange rate act as a buffer against shocks ","In emerging markets ,"
9,"In emerging markets, wherever possible, policymakers should continue to let the exchange rate act as a buffer against shocks","In emerging markets , wherever possible , policymakers should continue to let the exchange rate act as a buffer against shocks ","wherever possible , policymakers should continue to let"
