index,sentence,subsentence_detail,score_detail,fiscal_stance,fiscal_analysis,economic_condition,monetary_policy,other_policies,risk,no_topic,fiscal_stance_dum
20160901_1_3,"Depending on country needs, comprehensive action will combine structural reforms with demand support, anchored by coherent and well-communicated policy frameworks","└── combine 0 0.0 other_policies
    └── need 0 0 fiscal_stance//
","{'polarity': [('reform', -1), ('support', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_11,"In a number of countries, it may be appropriate to devote fiscal resources to reduce private sector debt overhangs and repair financial sector balance sheets.","└── appropriate 0.0 0.0 fiscal_analysis
    └── reduce 0.0 0.0 other_policies,fiscal_analysis//
        └── repair 0 0.0 fiscal_analysis//
","{'polarity': [('reduce', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_10,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth,"└── include 0.5 0.0 fiscal_analysis
    └── adjust 0.0 1 fiscal_stance
        └── move 0 0.0 fiscal_analysis//
","{'polarity': [('spending', 1), ('investment', 1), ('tax', -1)], 'degree': []}",0.0,0.5,0.0,0.0,0.0,0.0,0,0.0
20160901_1_1,Sustainably higher and inclusive growth requires more forceful and comprehensive policies,"└── require 0 0.0 other_policies
","{'polarity': [('higher', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_4,"Where interest rates are at or near their effective lower bounds, fiscal policy must play a larger role","└── play 0.0 0 fiscal_stance
    ├── bound 0.0 0.0 //
    │   └── near 0 0.0 fiscal_analysis//
    └── play 0 0 fiscal_stance//
","{'polarity': [], 'degree': [('larger', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_7,"Where monetary policy operates near or at the lower bound, growth-friendly fiscal policy has an important role to play","└── have 0.0 1 fiscal_stance
    └── operate 0.0 0.0 monetary_policy//
        └── bind 0 0.0 other_policies//
","{'polarity': [('growth-friendly', 1)], 'degree': []}",2.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_9,"Taking advantage of the current low interest rate environment and depending on the availability of fiscal space, there is a case for more public investment","└── be 0.0 0.0 fiscal_analysis
    └── take 0.0 0.0 //
        └── depend 0 0.0 fiscal_analysis//
","{'polarity': [('investment', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_2,"With multiple interdependent factors holding back growth, policymakers have to work all necessary levers— structural policies (including to promote financial stability and trade), fiscal policies, and monetary policy","└── have 0.0 0.0 other_policies
    ├── trade 0 0.0 other_policies//
    ├── policy 0 0.0 other_policies//
    └── policy 0 0.0 monetary_policy//
","{'polarity': [], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_5,"At the same time, policymakers can raise confidence by explaining to citizens the benefits of reform and, where necessary, providing effective support to those who disproportionately shoulder the burden of adjustment","├── explain 0 0.0 other_policies//
└── shoulder 0 0.0 fiscal_analysis//
","{'polarity': [('raise', 1), ('confidence', 1), ('reform', -1), ('support', 1), ('adjustment', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_8,"Indeed, a strategy of deploying all available tools can counter damaging perceptions that the policy space to use individual instruments might be limited",,"{'polarity': [('limit', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_6,"Efforts to advance global trade integration, lower financial stability risks, and address geopolitical spillovers remain vital","└── remain 0.0 0.0 other_policies
    └── address 0 0.0 other_policies//
","{'polarity': [('advance', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_14,"Putting in place such plans will also reinforce policy room to support balance sheet repair, growth, and job creation during this period of heightened vulnerability","└── support 0.0 0.0 fiscal_analysis//
    ├── growth 0 0.0 economic_condition//
    └── job 0 0.0 other_policies,fiscal_analysis//
","{'polarity': [('support', 1), ('heighten', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20120120_1_6,"Countries with policy space might consider slowing structural fiscal adjustment in 2012, while maintaining their commitment to a credible medium-term consolidation plan","└── maintain 0 -1 fiscal_stance//
","{'polarity': [('slow', -1), ('adjustment', -1), ('consolidation', -1)], 'degree': [('medium-term', 0.5)]}",-2.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20120120_1_8,"In the near term, sufficient fiscal adjustment is planned in most advanced economies","└── plan 0 0.0 fiscal_analysis
","{'polarity': [('adjustment', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_2,Sufficient near-term fiscal adjustment is in train in most economies,"└── train 0 0.0 fiscal_analysis
","{'polarity': [('adjustment', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_10,"in those economies that can afford to do so, the pace of near-term fiscal consolidation should slow","└── afford 0.5 0 fiscal_stance
    └── slow 0 1 fiscal_stance,fiscal_analysis
","{'polarity': [('slow', -1), ('consolidation', -1)], 'degree': []}",0.5,0.0,0.0,0.0,0.0,0.0,0,1.0
20120120_1_12,"In the United States and Japan, policymakers should redouble efforts to formulate and implement credible medium-term consolidation plans","└── redouble 0.0 -1 fiscal_stance
    └── implement 0 0.0 other_policies//
","{'polarity': [('consolidation', -1)], 'degree': [('medium-term', 0.5)]}",-2.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20120120_1_11,But medium-term risks to the sustainability remain unaddressed,,"{'polarity': [('sustainability', -1)], 'degree': [('medium-term', 0.5)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
