name,economic_condition,fiscal_analysis,fiscal_stance,fiscal_stance_dum,monetary_policy,no_topic,other_policies,risk
20100423,0.0,-4.0,-8.0,5.0,0.0,0,0.0,0.0
20150209,0.0,0.125,1.0,12.0,0.0,0,-1.5,0.0
20100904,0.0,0.0,-2.75,9.0,0.0,0,-2.0,0.0
20091107,0.0,-8.0,-16.0,11.0,2.5,0,2.0,0.0
20110709,0.0,0.0,4.0,10.0,-1.0,0,0.0,0.0
20100604,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0
20090924,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0
20121105,0.0,0.0,-1.0,5.0,0.0,0,0.0,0.0
20111015,0.0,0.0,2.0,10.0,0.0,0,2.0,0.0
20140917,0.0,0.0,0.0,16.0,0.0,0,1.5,0.0
20100227,0.0,0.0,-9.0,5.0,0.0,0,0.0,0.0
20101021,0.0,-4.0,-7.5,3.0,0.0,0,-4.0,0.0
20120225,0.0,0.0,3.0,6.0,0.0,0,0.0,0.0
20141115,0.0,-1.0,-5.5,9.0,0.0,0,-2.5,0.0
20130719,0.0,0.0,-7.5,11.0,-9.0,0,0.0,0.0
20160721,0.0,-2.0,-4.0,10.0,1.0,0,4.0,0.0
20090903,0.0,0.0,-1.0,8.0,-3.0,0,1.75,0.0
20171006,0.0,-0.75,-1.0,8.0,0.0,0,-1.5,0.0
20090708,0.0,0.0,-6.5,5.0,-1.0,0,-2.0,0.0
20170314,0.0,0.0,-0.5,3.0,0.0,0,0.0,0.0
20130418,0.0,-1.0,-4.0,7.0,0.0,0,1.0,0.0
20160226,1.0,2.0,0.5,16.0,0.0,0,1.0,0.0
20110415,0.0,-2.0,-4.0,3.0,0.0,0,0.0,0.0
20151115,0.0,0.0,2.0,7.0,0.0,0,0.0,0.0
20130905,0.0,0.0,-7.5,8.0,0.0,0,-1.0,0.0
20160901,0.0,-0.5,0.0,10.0,0.0,0,-0.5,0.0
20170705,0.0,-3.0,-4.0,4.0,0.0,0,0.0,0.0
20110218,0.0,0.0,2.0,4.0,-0.5,0,-0.5,0.0
20130221,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0
20140219,0.0,-1.0,-2.0,9.0,-2.0,0,-2.0,0.0
20120120,0.0,0.0,0.0,5.0,0.0,0,0.0,0.0
20150904,0.0,0.0,2.0,6.0,0.0,0,0.0,0.0
