name,economic_condition,fiscal_analysis,fiscal_stance,fiscal_stance_dum,monetary_policy,no_topic,other_policies,risk
20101021,0.0,-1.0,-13.5,7.0,0.0,0,-1.5,0.0
20150209,0.0,0.0,-5.0,7.0,0.0,0,-3.0,0.0
20090924,0.0,0.0,-2.0,7.0,0.0,0,0.0,0.0
20160721,0.0,4.0,7.0,8.0,0.0,0,0.0,0.0
20130719,0.0,-1.5,-8.5,13.0,0.5,0,-2.0,0.0
20110709,0.0,0.0,-6.5,6.0,0.0,0,0.0,-0.5
20130221,0.0,1.0,-4.0,8.0,0.0,0,1.0,0.0
20100604,0.0,-2.0,-5.0,10.0,0.0,0,0.0,0.0
20091107,0.0,0.0,-20.0,23.0,0.0,0,-1.0,0.0
20170705,0.0,-1.0,0.0,4.0,0.0,0,0.0,0.0
20110415,0.0,-5.5,-9.0,5.0,0.0,0,-1.0,0.0
20140917,0.0,0.0,-4.0,9.0,0.0,0,0.0,0.0
20100904,0.0,0.0,-10.75,11.0,0.0,0,1.0,0.0
20160226,0.0,1.5,2.0,7.0,0.0,0,0.0,0.0
20160901,0.0,0.5,2.0,4.0,0.0,0,0.0,0.0
20090903,0.0,-0.5,-3.0,9.0,0.0,0,0.0,0.0
20100627,0.0,-10.875,-19.875,30.0,1.0,0,4.0,-1.0
20170314,0.0,0.0,2.0,1.0,0.0,0,-1.5,0.0
20130905,0.0,1.0,-8.0,7.0,0.0,0,4.0,0.0
20141115,0.0,0.0,-1.5,4.0,0.0,0,0.0,0.0
20120120,0.0,0.0,-7.5,13.0,0.0,0,0.0,0.0
20151115,0.0,-2.0,0.5,9.0,0.0,0,0.0,0.0
20110218,0.0,-2.0,-8.75,11.0,0.0,0,-7.0,0.0
20111015,0.0,-1.5,-4.0,4.0,0.0,0,-2.0,0.0
20101112,0.0,-1.0,-1.0,6.0,0.0,0,0.5,0.0
20100423,0.0,-3.0,-20.0,12.0,0.0,0,0.0,0.0
20140219,0.0,1.0,-9.5,9.0,0.0,0,3.0,0.0
20100227,0.0,-2.0,-9.75,10.0,0.0,0,1.25,0.0
20120225,0.0,1.0,-5.0,7.0,0.0,0,0.0,0.0
20130418,0.0,0.0,-13.0,9.0,0.0,0,0.0,0.0
20090708,0.0,2.0,-12.0,15.0,0.0,0,0.0,0.0
20150904,0.0,0.0,-3.5,10.0,0.0,0,-1.0,0.0
20121105,0.0,-3.0,-3.5,12.0,0.0,0,0.0,0.0
20171006,1.0,-2.0,3.0,9.0,0.0,0,3.5,0.0
