name,fiscal_stance
20101021,-13.5
20150209,-5.0
20090924,-2.0
20160721,7.0
20130719,-8.5
20110709,-6.5
20130221,-4.0
20100604,-5.0
20091107,-20.0
20170705,0.0
20110415,-9.0
20140917,-4.0
20100904,-10.75
20160226,2.0
20160901,2.0
20090903,-3.0
20100627,-19.875
20170314,2.0
20130905,-8.0
20141115,-1.5
20120120,-7.5
20151115,0.5
20110218,-8.75
20111015,-4.0
20101112,-1.0
20100423,-20.0
20140219,-9.5
20100227,-9.75
20120225,-5.0
20130418,-13.0
20090708,-12.0
20150904,-3.5
20121105,-3.5
20171006,3.0
