,sentence,monetary_topic,sentence_root,select,temp_score,dic_score_0,dic_score_1,dic_score_2,dic_score_3,dic_score_4,dic_score_5,dic_score_6,dic_score_7,dic_score_8
822,"Accommodative monetary policies should be accompanied by efforts to strengthen balance sheets and credit supply , and by active macroprudential measures",0.0,accommodative monetary policy should be accompany effort strengthen balance sheet credit supply active macroprudential measure,0.0005889604351311251,True,True,True,True,True,True,True,True,False,False
178,"If the economy is not at risk of overheating , the appropriate policy response would be to lower interest rates and to tighten fiscal policy , thus reducing currency appreciation pressures",1.0,economy be risk overheating appropriate policy response would be lower interest rate tighten fiscal policy reduce currency appreciation pressure,0.00605539873970351,True,True,True,True,True,True,True,True,True,False
415,"before unconventional monetary policy stimulus is fully withdrawn In particular , to the extent",0.0,unconventional monetary policy stimulus be withdraw particular extent,0.0068065740689771115,False,False,False,False,False,False,False,False,False,False
814,banking system stability is also a priority,0.0,banking system stability be priority,0.008169521583921702,False,False,False,False,False,False,False,False,False,False
194,Excessive may have built in some sectors credit booms in a number of smaller advanced economies and the underpricing of risks in certain segments of United States financial markets after more than five years of exceptionally low rates,0.0,excessive may have build sector credit boom number smaller advanced economy underpricing risk certain segment United States financial market more year low rate,0.010441902453201757,False,False,False,False,False,False,False,False,False,False
149,increased downside risks to the global economy,0.0,increase downside risk global economy,0.015296516534056726,False,False,False,False,False,False,False,False,False,False
163,"In the United States , improving the transmission of the monetary easing",0.0,United States improve transmission monetary ease,0.01593895068036455,False,False,False,False,False,False,False,False,False,False
739,as the recovery proceeds,0.0,recovery proceeds,0.01790099828796643,False,False,False,False,False,False,False,False,False,False
498,"Importantly , the type , scale , and timing of adjustment should not be the same , but depend on each country 's own circumstances , or efforts may become",0.0,type scale timing adjustment should be same depend country own circumstance effort may become,0.017904180235598588,True,True,True,True,True,True,True,True,True,True
561,"Moreover , where credit intermediation remains impaired ,",0.0,credit intermediation remain impaired,0.019281798039891496,False,False,False,False,False,False,False,False,False,False
416,"that credit markets remain impaired , monetary tightening may need to be led by a raising of policy rates",0.0,credit market remain impaired monetary tightening may need be lead raising policy rate,0.019508403547986775,True,True,True,True,True,True,True,True,True,True
292,"that require increased vigilance ,",0.0,require increase vigilance,0.020020910061754216,False,False,False,False,False,False,False,False,False,False
258,"In the United States , the main policy issue is the appropriate timing and pace of monetary policy normalization",1.0,United States main policy issue be appropriate timing pace monetary policy normalization,0.020769453781090963,True,True,True,True,True,True,True,True,True,False
528,Raising both actual and potential output through a combination of demand support and structural reforms remains a key policy objective,0.0,Raising actual potential output combination demand support structural reform remain key policy objective,0.02153809313931243,False,False,False,False,False,False,False,False,False,False
554,which in some cases may require changes to regulatory and legal structures,0.0,case may require change regulatory legal structure,0.02172748662956525,False,False,False,False,False,False,False,False,False,False
687,The unbalanced recovery across economies suggests,0.0,unbalanced recovery economy suggest,0.022043673715132828,False,False,False,False,False,False,False,False,False,False
694,"Forceful fiscal and monetary stimulus and financial sector support have helped ease financial stress and played an important role in supporting activity , but may need to be maintained for some time",0.0,forceful fiscal monetary stimulus financial sector support have help ease financial stress play important role support activity may need be maintain time,0.02211598639689427,True,True,True,True,True,True,True,True,True,True
715,"Monetary policy can respond more quickly to achieve the desired level of overall stimulus ,",0.0,Monetary policy can respond achieve desire level overall stimulus,0.02452290842659255,False,False,False,False,False,False,False,False,False,False
656,"As some start exiting UMP , communication and cooperation will be key to avoid or manage bouts of financial market volatility",0.0,start exit ump communication cooperation will be key avoid manage bout financial market volatility,0.027366775422229983,False,False,False,False,False,False,False,False,False,False
855,"plans that achieve timely and smooth exits for extraordinary monetary , fiscal , and financial sector interventions , while being careful to avoid a premature withdrawal of support",0.0,plan achieve timely smooth exit extraordinary monetary fiscal financial sector intervention be careful avoid premature withdrawal support,0.027497998505450094,False,False,False,False,False,False,False,False,False,False
238,Targeted programs to ease,0.0,target program ease,0.0290572552129873,False,False,False,False,False,False,False,False,False,False
583,"This requires slowing credit expansion and switching from investment to more , measures",0.0,require slow credit expansion switching investment measure,0.029922383357475213,False,False,False,False,False,False,False,False,False,False
260,"In the meantime , there is some room for a lower policy rate",1.0,meantime be room lower policy rate,0.032825081548578106,False,False,False,False,False,False,False,False,False,False
199,Sustainably lowering inflation will also require further increases in the policy rate and a simpler monetary framework with clear objectives and operational autonomy for the RBI .,0.0,lower inflation will require further increase policy rate simpler monetary framework clear objective operational autonomy RBI,0.0340271842551394,True,True,True,False,False,False,False,False,False,False
590,"The scope to do so will require credible macroeconomic policies and frameworks ,",0.0,scope do will require credible macroeconomic policy framework,0.03447370119795101,False,False,False,False,False,False,False,False,False,False
540,"if downside risks materialize ,",0.0,downside risk materialize,0.03484416772671228,False,False,False,False,False,False,False,False,False,False
305,"In the euro area , bank balance sheet repair remain essential to restore confidence and revive credit growth , and policymakers should make further progress on banking union through a Single Supervisory Mechanism and a Single Resolution Mechanism , and advance structural reforms",0.0,euro area bank balance sheet repair remain essential restore confidence revive credit growth policymaker should make further progress banking union single Supervisory mechanism single resolution mechanism advance structural reform,0.035428827683142594,False,False,False,False,False,False,False,False,False,False
