sentence,hirose_san_score,model_score
"Accommodative monetary policies should be accompanied by efforts to strengthen balance sheets and credit supply , and by active macroprudential measures",0,1
"If the economy is not at risk of overheating , the appropriate policy response would be to lower interest rates and to tighten fiscal policy , thus reducing currency appreciation pressures",1,1
"before unconventional monetary policy stimulus is fully withdrawn In particular , to the extent",0,0
banking system stability is also a priority,0,0
Excessive may have built in some sectors credit booms in a number of smaller advanced economies and the underpricing of risks in certain segments of United States financial markets after more than five years of exceptionally low rates,0,0
increased downside risks to the global economy,0,0
"In the United States , improving the transmission of the monetary easing",0,0
as the recovery proceeds,0,0
"Importantly , the type , scale , and timing of adjustment should not be the same , but depend on each country 's own circumstances , or efforts may become",0,1
"Moreover , where credit intermediation remains impaired ,",0,0
"that credit markets remain impaired , monetary tightening may need to be led by a raising of policy rates",0,1
"that require increased vigilance ,",0,0
"In the United States , the main policy issue is the appropriate timing and pace of monetary policy normalization",1,1
Raising both actual and potential output through a combination of demand support and structural reforms remains a key policy objective,0,0
which in some cases may require changes to regulatory and legal structures,0,0
The unbalanced recovery across economies suggests,0,0
"Forceful fiscal and monetary stimulus and financial sector support have helped ease financial stress and played an important role in supporting activity , but may need to be maintained for some time",0,1
"Monetary policy can respond more quickly to achieve the desired level of overall stimulus ,",0,0
"As some start exiting UMP , communication and cooperation will be key to avoid or manage bouts of financial market volatility",0,0
"plans that achieve timely and smooth exits for extraordinary monetary , fiscal , and financial sector interventions , while being careful to avoid a premature withdrawal of support",0,0
Targeted programs to ease,0,0
"This requires slowing credit expansion and switching from investment to more , measures",0,0
"In the meantime , there is some room for a lower policy rate",1,0
Sustainably lowering inflation will also require further increases in the policy rate and a simpler monetary framework with clear objectives and operational autonomy for the RBI .,0,1
"The scope to do so will require credible macroeconomic policies and frameworks ,",0,0
"if downside risks materialize ,",0,0
"In the euro area , bank balance sheet repair remain essential to restore confidence and revive credit growth , and policymakers should make further progress on banking union through a Single Supervisory Mechanism and a Single Resolution Mechanism , and advance structural reforms",0,0
"To ensure transmission of tighter monetary conditions to the real economy , central banks will also need to withdraw excess bank reserves created by their exceptional liquidity provision and unconventional measures",1,1
Policymakers must remain alert to overheating risks as well as rising domestic financial vulnerabilities,0,0
and support,0,0
"while managing risks to price stability In advanced economies , monetary policy should remain very accommodative and central banks should stand ready to do more if needed",1,1
The United Kingdom faces similar challenges :,0,0
should inflation expectations unexpectedly rise,0,0
"National authorities should commit to provide sufficient national backstops ,",0,0
"Monetary policy can remain accommodative in the major advanced countries , but monetary tightening may be considered in some emerging economies facing risks of overheating",1,1
"Current projections are for a limited decline in budget deficits of emerging economies in 2011 and 2012 ,",0,0
"Specifically : In the United States , the main challenge is to reach the appropriate speed of monetary policy normalization ,",1,1
which restricts available policy room,0,0
These monetary policy efforts should be supported by measures to strengthen bank balance sheets and thereby improve monetary policy transmission and credit market conditions,0,1
National backstops should be used,0,0
"In the United States , monetary policy should continue to remain ,",0,1
that policy tightening may be needed in some countries,1,1
"In emerging economies , monetary policy may need to respond more sensitively to inflation shocks from higher commodity prices due to higher mainly for food prices , less so for energy , less inflation expectations , and economies",1,1
"An effective monetary policy communication strategy will remain essential , also in light of differences between market and FOMC expectations about the path of interest rates",0,1
There is a need to put the global financial system on a more resilient footing,0,0
"At a global level , there is a pressing need",0,0
Some emerging economies should remain watchful of inflationary pressures and should not lower interest rates further,1,1
"The situation is more varied across emerging economies , but monetary",0,0
Emerging economies face both and challenges to support growth,0,0
To facilitate rebalanced global growth : advanced economies with large current account deficits should transition towards measures to raise savings,0,0
major advanced economy central banks have reduced policy interest rates to close to the zero interest floor,0,0
"the most important risk from this policy stance in the current low inflationary environment is the potential for liquidity spillovers , particularly to domestic asset markets and emerging economies",0,0
advanced economies with large surpluses should prioritize structural reforms in labor and product markets,0,0
"With inflationary expectations well anchored , accommodative monetary policy in major advanced economies remains appropriate for now",1,1
"Monetary policy should remain accommodative in advanced economies ,",1,1
Monetary and fiscal policies can help to reduce inflows,0,0
"Cyclical weakening calls for monetary policy easing , or less tightening , for those economies",1,0
"Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS",0,0
"A successful resolution of the current crisis will thus require a cohesive , comprehensive , and cooperative package of policies across the",0,0
Monetary policy should continue supporting demand given the output gaps and ongoing fiscal consolidation,0,0
More coordination is necessary to avoid fragmentation,0,0
"while monetary policy should stay accommodative for now , it might , however , have to be tightened quickly",1,1
while maintaining measures aimed at mitigating the social impact of the crisis,0,0
"The ECB 's monetary policy should be highly accommodative , consistent with its mandate of ensuring price stability",1,1
where the credibility of monetary policy is high,0,0
allow for greater exchange rate flexibility,0,0
"In some emerging markets , the task is to avoid overheating and prevent the of financial imbalances",0,0
"At the same time , strong prudential oversight and supervision of the financial system is essential to address emerging vulnerabilities in both the bank and financial sector owing to ultra low interest rates",0,0
These monetary measures need to be supplemented by progress on ` third arrow ' structural reforms,0,1
"In particular , to ensure that the transmission mechanism for monetary policy remains effective ,",0,1
The three requirements for a more resilient recovery are sustained but gradual adjustment,0,0
"In a majority of advanced countries , output gaps remain negative , weak labor markets threaten to permanently scar especially the young in the workforce , and inflation is low and far off target",0,0
"In Japan , accelerating structural reforms is critical to boost confidence and contribute to higher domestic demand and favorable dynamics",0,0
"Where public debt is elevated , fiscal space should be through consolidation Brazil , India , Mexico",0,0
"Where necessary , fiscal consolidation should remain and support policies",0,0
This is advisable considering both the relative scales of policy adjustment required and managing risks to both economic and financial recovery,0,0
"Notwithstanding conceptual difficulties in gauging effectiveness ,",0,0
that would bolster domestic demand,0,0
"Most emerging economies need to bolster their financial stability frameworks to cope with volatile capital flows , including notably from sharp swings in global risk aversion .",0,0
"In some emerging economies for example , Brazil , emerging Asia , owing to rapidly closing output gaps or concerns about credit quality , monetary accommodation is already being removed or will need be to be removed relatively soon",1,1
"than warranted , given the massive purchases by various central banks of government paper since 2008",0,0
"consolidation is appropriate and should be supported by measures for example , in Italy",0,0
can continue to be a strong locomotive of global economic and trade growth through structural reforms,0,0
that the recovery is expected to remain sluggish going forward,0,0
Room for monetary easing is also more limited,1,0
"High unemployment and large output gaps are keeping wages and inflation expectations in the major advanced economies in check , notwithstanding large increases in food and energy prices",0,0
while structural reforms should prioritize measures,0,0
central banks should continue to explore unconventional measures to stimulate economic activity and improve credit flows,1,1
that reduce duality,0,0
"Large negative growth surprises in euro area countries should not trigger additional consolidation efforts ,",0,0
"In most advanced economies , output gaps are still substantial , inflation is below target , and monetary policy remains",0,0
while continuing to wind down policy lending is important to put gross public debt on a firmly downward path and boost market confidence,0,0
"Further action is needed to recapitalize , restructure , or resolve weak banks and improve the flow of credit to the economy , particularly in Europe",0,0
"For instance , streamlining service or product sector regulations in surplus economies for example , in Japan , Korea , and Germany will encourage domestic demand and relative price adjustments",0,0
"More recently however , inflation expectations have reversed , and the euro has strengthened ,",0,0
"To benefit most from the additional easing , it should be supported with fiscal , structural , and ambitious incomes policies",0,0
"For most countries , fiscal consolidation should be a top priority , with monetary policy able to adjust more flexibly to achieve a desired level of overall stimulus",0,1
The effectiveness of the easing in Japan would be enhanced by broadening asset purchases to include more equities and corporate bonds and government bonds with longer maturities and by simultaneously adopting broad structural and fiscal reforms to achieve a sustained recovery,0,0
if left unaddressed,0,0
"In emerging market economies , solid policy frameworks will be crucial",0,0
if costs run ahead of productivity growth or,0,0
Policy priorities have taken on more urgency compared to the February Surveillance Note,0,0
